# Citizen Ledger — special districts — COMPLETE LAYER EXPORT
# Source dataset: California State Controller — special districts financial transactions reports, as filed
# Accounting basis: Reported as filed with the State Controller, by fund class
# Gate tier: AS FILED — UNRECONCILED. Three of the four fund-class buckets have no published total to check against: for enterprise, internal-service and conduit funds the Controller publishes operating and nonoperating components and never their sum. A control exists for the governmental bucket only. No figure in this file has been verified against an independently published total
# Units: as-filed dollars
# Measured as: REPORTED AS FILED WITH THE STATE CONTROLLER, BY FUND CLASS · AS-FILED DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-26
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# Fund-class columns: gov = governmental funds; ent = enterprise funds; isf = internal service funds; cf = conduit financing
# filing_status is the Controller's own per-year code for that district; '-' means no filing is recorded for that year.
# An entity-year with no filing at all is omitted rather than written as zero.
slug,name,county,activity,district_type,fiscal_year,filing_status,exp_gov_usd,exp_ent_usd,exp_isf_usd,exp_cf_usd,rev_gov_usd,rev_ent_usd,rev_isf_usd,rev_cf_usd
county-service-area-no-13-nevada,County Service Area No. 13 (Nevada),Nevada,County Service Area,Dependent,2022-23,L,7643,0,0,0,8057,0,0,0
county-service-area-no-13-nevada,County Service Area No. 13 (Nevada),Nevada,County Service Area,Dependent,2023-24,F,12570,0,0,0,8215,0,0,0
county-service-area-no-13-orange,County Service Area No. 13 (Orange),Orange,County Service Area,Dependent,2016-17,F,8668,0,0,0,10182,0,0,0
county-service-area-no-13-orange,County Service Area No. 13 (Orange),Orange,County Service Area,Dependent,2017-18,F,7498,0,0,0,10412,0,0,0
county-service-area-no-13-orange,County Service Area No. 13 (Orange),Orange,County Service Area,Dependent,2018-19,F,7395,0,0,0,10964,0,0,0
county-service-area-no-13-orange,County Service Area No. 13 (Orange),Orange,County Service Area,Dependent,2019-20,F,7447,0,0,0,11151,0,0,0
county-service-area-no-13-orange,County Service Area No. 13 (Orange),Orange,County Service Area,Dependent,2020-21,F,7390,0,0,0,14538,0,0,0
county-service-area-no-13-orange,County Service Area No. 13 (Orange),Orange,County Service Area,Dependent,2021-22,F,28276,0,0,0,14398,0,0,0
county-service-area-no-13-orange,County Service Area No. 13 (Orange),Orange,County Service Area,Dependent,2022-23,F,12749,0,0,0,15529,0,0,0
county-service-area-no-13-orange,County Service Area No. 13 (Orange),Orange,County Service Area,Dependent,2023-24,F,12717,0,0,0,16069,0,0,0
county-service-area-no-13-riverside,County Service Area No. 13 (Riverside),Riverside,County Service Area,Dependent,2016-17,F,2773,0,0,0,5258,0,0,0
county-service-area-no-13-riverside,County Service Area No. 13 (Riverside),Riverside,County Service Area,Dependent,2017-18,F,2712,0,0,0,5546,0,0,0
county-service-area-no-13-riverside,County Service Area No. 13 (Riverside),Riverside,County Service Area,Dependent,2018-19,F,2638,0,0,0,7059,0,0,0
county-service-area-no-13-riverside,County Service Area No. 13 (Riverside),Riverside,County Service Area,Dependent,2019-20,F,2908,0,0,0,7049,0,0,0
county-service-area-no-13-riverside,County Service Area No. 13 (Riverside),Riverside,County Service Area,Dependent,2020-21,F,2844,0,0,0,5975,0,0,0
county-service-area-no-13-riverside,County Service Area No. 13 (Riverside),Riverside,County Service Area,Dependent,2021-22,F,2573,0,0,0,4735,0,0,0
county-service-area-no-13-riverside,County Service Area No. 13 (Riverside),Riverside,County Service Area,Dependent,2022-23,F,2958,0,0,0,8064,0,0,0
county-service-area-no-13-riverside,County Service Area No. 13 (Riverside),Riverside,County Service Area,Dependent,2023-24,F,2979,0,0,0,10630,0,0,0
county-service-area-no-13-santa-cruz,County Service Area No. 13 (Santa Cruz),Santa Cruz,County Service Area,Dependent,2016-17,F,131882,0,0,0,151958,0,0,0
county-service-area-no-13-santa-cruz,County Service Area No. 13 (Santa Cruz),Santa Cruz,County Service Area,Dependent,2017-18,F,1586052,0,0,0,1218932,0,0,0
county-service-area-no-13-santa-cruz,County Service Area No. 13 (Santa Cruz),Santa Cruz,County Service Area,Dependent,2018-19,F,72416,0,0,0,248167,0,0,0
county-service-area-no-13-santa-cruz,County Service Area No. 13 (Santa Cruz),Santa Cruz,County Service Area,Dependent,2019-20,F,21126,0,0,0,232865,0,0,0
county-service-area-no-13-santa-cruz,County Service Area No. 13 (Santa Cruz),Santa Cruz,County Service Area,Dependent,2020-21,F,81512,0,0,0,159898,0,0,0
county-service-area-no-13-santa-cruz,County Service Area No. 13 (Santa Cruz),Santa Cruz,County Service Area,Dependent,2021-22,F,142704,0,0,0,178193,0,0,0
county-service-area-no-13-santa-cruz,County Service Area No. 13 (Santa Cruz),Santa Cruz,County Service Area,Dependent,2022-23,F,331301,0,0,0,190511,0,0,0
county-service-area-no-13-santa-cruz,County Service Area No. 13 (Santa Cruz),Santa Cruz,County Service Area,Dependent,2023-24,F,104122,0,0,0,208592,0,0,0
county-service-area-no-13-shasta,County Service Area No. 13 (Shasta),Shasta,County Service Area,Dependent,2016-17,F,0,57040,0,0,0,37215,0,0
county-service-area-no-13-shasta,County Service Area No. 13 (Shasta),Shasta,County Service Area,Dependent,2017-18,F,0,59890,0,0,0,41281,0,0
county-service-area-no-13-shasta,County Service Area No. 13 (Shasta),Shasta,County Service Area,Dependent,2018-19,F,0,52440,0,0,0,46339,0,0
county-service-area-no-13-shasta,County Service Area No. 13 (Shasta),Shasta,County Service Area,Dependent,2019-20,F,0,60290,0,0,0,48526,0,0
county-service-area-no-13-shasta,County Service Area No. 13 (Shasta),Shasta,County Service Area,Dependent,2020-21,F,0,58430,0,0,0,60871,0,0
county-service-area-no-13-shasta,County Service Area No. 13 (Shasta),Shasta,County Service Area,Dependent,2021-22,F,0,93609,0,0,0,80369,0,0
county-service-area-no-13-shasta,County Service Area No. 13 (Shasta),Shasta,County Service Area,Dependent,2022-23,F,0,92316,0,0,0,70011,0,0
county-service-area-no-13-shasta,County Service Area No. 13 (Shasta),Shasta,County Service Area,Dependent,2023-24,F,0,94707,0,0,0,124381,0,0
county-service-area-no-13-tuolumne,County Service Area No. 13 (Tuolumne),Tuolumne,County Service Area,Dependent,2016-17,F,869,0,0,0,11100,0,0,0
county-service-area-no-13-tuolumne,County Service Area No. 13 (Tuolumne),Tuolumne,County Service Area,Dependent,2017-18,F,384,0,0,0,11870,0,0,0
county-service-area-no-13-tuolumne,County Service Area No. 13 (Tuolumne),Tuolumne,County Service Area,Dependent,2018-19,F,17557,0,0,0,13074,0,0,0
county-service-area-no-13-tuolumne,County Service Area No. 13 (Tuolumne),Tuolumne,County Service Area,Dependent,2019-20,F,336,0,0,0,13254,0,0,0
county-service-area-no-13-tuolumne,County Service Area No. 13 (Tuolumne),Tuolumne,County Service Area,Dependent,2020-21,F,289,0,0,0,13216,0,0,0
county-service-area-no-13-tuolumne,County Service Area No. 13 (Tuolumne),Tuolumne,County Service Area,Dependent,2021-22,F,952,0,0,0,13798,0,0,0
county-service-area-no-13-tuolumne,County Service Area No. 13 (Tuolumne),Tuolumne,County Service Area,Dependent,2022-23,F,954,0,0,0,16127,0,0,0
county-service-area-no-13-tuolumne,County Service Area No. 13 (Tuolumne),Tuolumne,County Service Area,Dependent,2023-24,F,443,0,0,0,17958,0,0,0
county-service-area-no-131-butte,County Service Area No. 131 (Butte),Butte,County Service Area,Dependent,2016-17,F,1150,0,0,0,1419,0,0,0
county-service-area-no-131-butte,County Service Area No. 131 (Butte),Butte,County Service Area,Dependent,2017-18,F,1219,0,0,0,1434,0,0,0
county-service-area-no-131-butte,County Service Area No. 131 (Butte),Butte,County Service Area,Dependent,2018-19,F,1281,0,0,0,1648,0,0,0
county-service-area-no-131-butte,County Service Area No. 131 (Butte),Butte,County Service Area,Dependent,2019-20,F,1251,0,0,0,1641,0,0,0
county-service-area-no-131-butte,County Service Area No. 131 (Butte),Butte,County Service Area,Dependent,2020-21,F,1212,0,0,0,1394,0,0,0
county-service-area-no-131-butte,County Service Area No. 131 (Butte),Butte,County Service Area,Dependent,2021-22,F,865,0,0,0,1160,0,0,0
county-service-area-no-131-butte,County Service Area No. 131 (Butte),Butte,County Service Area,Dependent,2022-23,F,1112,0,0,0,1538,0,0,0
county-service-area-no-131-butte,County Service Area No. 131 (Butte),Butte,County Service Area,Dependent,2023-24,F,1497,0,0,0,1852,0,0,0
county-service-area-no-132-riverside,County Service Area No. 132 (Riverside),Riverside,County Service Area,Dependent,2016-17,F,157885,0,0,0,169440,0,0,0
county-service-area-no-132-riverside,County Service Area No. 132 (Riverside),Riverside,County Service Area,Dependent,2017-18,F,198753,0,0,0,176127,0,0,0
county-service-area-no-132-riverside,County Service Area No. 132 (Riverside),Riverside,County Service Area,Dependent,2018-19,F,165883,0,0,0,177859,0,0,0
county-service-area-no-132-riverside,County Service Area No. 132 (Riverside),Riverside,County Service Area,Dependent,2019-20,F,175259,0,0,0,180662,0,0,0
county-service-area-no-132-riverside,County Service Area No. 132 (Riverside),Riverside,County Service Area,Dependent,2020-21,F,172103,0,0,0,183236,0,0,0
county-service-area-no-132-riverside,County Service Area No. 132 (Riverside),Riverside,County Service Area,Dependent,2021-22,F,172098,0,0,0,185421,0,0,0
county-service-area-no-132-riverside,County Service Area No. 132 (Riverside),Riverside,County Service Area,Dependent,2022-23,F,198955,0,0,0,191965,0,0,0
county-service-area-no-132-riverside,County Service Area No. 132 (Riverside),Riverside,County Service Area,Dependent,2023-24,F,205233,0,0,0,197700,0,0,0
county-service-area-no-134-riverside,County Service Area No. 134 (Riverside),Riverside,County Service Area,Dependent,2016-17,F,1458550,0,0,0,1477852,0,0,0
county-service-area-no-134-riverside,County Service Area No. 134 (Riverside),Riverside,County Service Area,Dependent,2017-18,F,1590799,0,0,0,1532811,0,0,0
county-service-area-no-134-riverside,County Service Area No. 134 (Riverside),Riverside,County Service Area,Dependent,2018-19,F,1954672,0,0,0,2081628,0,0,0
county-service-area-no-134-riverside,County Service Area No. 134 (Riverside),Riverside,County Service Area,Dependent,2019-20,F,1801855,0,0,0,2184652,0,0,0
county-service-area-no-134-riverside,County Service Area No. 134 (Riverside),Riverside,County Service Area,Dependent,2020-21,F,1918554,0,0,0,2201112,0,0,0
county-service-area-no-134-riverside,County Service Area No. 134 (Riverside),Riverside,County Service Area,Dependent,2021-22,F,2233606,0,0,0,2322383,0,0,0
county-service-area-no-134-riverside,County Service Area No. 134 (Riverside),Riverside,County Service Area,Dependent,2022-23,F,2063156,0,0,0,2465665,0,0,0
county-service-area-no-134-riverside,County Service Area No. 134 (Riverside),Riverside,County Service Area,Dependent,2023-24,F,1829272,0,0,0,2625668,0,0,0
county-service-area-no-135-butte,County Service Area No. 135 (Butte),Butte,County Service Area,Dependent,2016-17,F,2048,626,0,0,6194,1215,0,0
county-service-area-no-135-butte,County Service Area No. 135 (Butte),Butte,County Service Area,Dependent,2017-18,F,1508,720,0,0,6259,1230,0,0
county-service-area-no-135-butte,County Service Area No. 135 (Butte),Butte,County Service Area,Dependent,2018-19,F,608,1509,0,0,8052,1498,0,0
county-service-area-no-135-butte,County Service Area No. 135 (Butte),Butte,County Service Area,Dependent,2019-20,F,1901,717,0,0,8468,1487,0,0
county-service-area-no-135-butte,County Service Area No. 135 (Butte),Butte,County Service Area,Dependent,2020-21,F,2859,1464,0,0,6645,1177,0,0
county-service-area-no-135-butte,County Service Area No. 135 (Butte),Butte,County Service Area,Dependent,2021-22,F,1680,1933,0,0,4783,945,0,0
county-service-area-no-135-butte,County Service Area No. 135 (Butte),Butte,County Service Area,Dependent,2022-23,F,1670,1570,0,0,7672,1352,0,0
county-service-area-no-135-butte,County Service Area No. 135 (Butte),Butte,County Service Area,Dependent,2023-24,F,4274,2313,0,0,10340,1620,0,0
county-service-area-no-135-riverside,County Service Area No. 135 (Riverside),Riverside,County Service Area,Dependent,2016-17,F,16741,0,0,0,12563,0,0,0
county-service-area-no-135-riverside,County Service Area No. 135 (Riverside),Riverside,County Service Area,Dependent,2017-18,F,15674,0,0,0,12581,0,0,0
county-service-area-no-135-riverside,County Service Area No. 135 (Riverside),Riverside,County Service Area,Dependent,2018-19,F,13600,0,0,0,12639,0,0,0
county-service-area-no-135-riverside,County Service Area No. 135 (Riverside),Riverside,County Service Area,Dependent,2019-20,F,14532,0,0,0,12629,0,0,0
county-service-area-no-135-riverside,County Service Area No. 135 (Riverside),Riverside,County Service Area,Dependent,2020-21,F,15356,0,0,0,15587,0,0,0
county-service-area-no-135-riverside,County Service Area No. 135 (Riverside),Riverside,County Service Area,Dependent,2021-22,F,13601,0,0,0,15687,0,0,0
county-service-area-no-135-riverside,County Service Area No. 135 (Riverside),Riverside,County Service Area,Dependent,2022-23,F,15692,0,0,0,15709,0,0,0
county-service-area-no-135-riverside,County Service Area No. 135 (Riverside),Riverside,County Service Area,Dependent,2023-24,F,16845,0,0,0,18024,0,0,0
county-service-area-no-135-san-diego,County Service Area No. 135 (San Diego),San Diego,County Service Area,Dependent,2016-17,F,1949994,0,0,0,1275649,0,0,0
county-service-area-no-135-san-diego,County Service Area No. 135 (San Diego),San Diego,County Service Area,Dependent,2017-18,F,1414000,0,0,0,3441651,0,0,0
county-service-area-no-135-san-diego,County Service Area No. 135 (San Diego),San Diego,County Service Area,Dependent,2018-19,F,1960114,0,0,0,2573840,0,0,0
county-service-area-no-135-san-diego,County Service Area No. 135 (San Diego),San Diego,County Service Area,Dependent,2019-20,F,3068020,0,0,0,5051807,0,0,0
county-service-area-no-135-san-diego,County Service Area No. 135 (San Diego),San Diego,County Service Area,Dependent,2020-21,F,7412555,0,0,0,921929,0,0,0
county-service-area-no-135-san-diego,County Service Area No. 135 (San Diego),San Diego,County Service Area,Dependent,2021-22,F,237019,0,0,0,342919,0,0,0
county-service-area-no-135-san-diego,County Service Area No. 135 (San Diego),San Diego,County Service Area,Dependent,2022-23,F,256713,0,0,0,231857,0,0,0
county-service-area-no-135-san-diego,County Service Area No. 135 (San Diego),San Diego,County Service Area,Dependent,2023-24,F,255871,0,0,0,231470,0,0,0
county-service-area-no-136-san-diego,County Service Area No. 136 (San Diego),San Diego,County Service Area,Dependent,2016-17,F,15271,0,0,0,21211,0,0,0
county-service-area-no-136-san-diego,County Service Area No. 136 (San Diego),San Diego,County Service Area,Dependent,2017-18,F,13066,0,0,0,22342,0,0,0
county-service-area-no-136-san-diego,County Service Area No. 136 (San Diego),San Diego,County Service Area,Dependent,2018-19,F,9281,0,0,0,24396,0,0,0
county-service-area-no-136-san-diego,County Service Area No. 136 (San Diego),San Diego,County Service Area,Dependent,2019-20,F,14796,0,0,0,26000,0,0,0
county-service-area-no-136-san-diego,County Service Area No. 136 (San Diego),San Diego,County Service Area,Dependent,2020-21,F,13213,0,0,0,20282,0,0,0
county-service-area-no-136-san-diego,County Service Area No. 136 (San Diego),San Diego,County Service Area,Dependent,2021-22,F,13894,0,0,0,16665,0,0,0
county-service-area-no-136-san-diego,County Service Area No. 136 (San Diego),San Diego,County Service Area,Dependent,2022-23,F,11750,0,0,0,24956,0,0,0
county-service-area-no-136-san-diego,County Service Area No. 136 (San Diego),San Diego,County Service Area,Dependent,2023-24,F,12116,0,0,0,30839,0,0,0
county-service-area-no-137-butte,County Service Area No. 137 (Butte),Butte,County Service Area,Dependent,2016-17,F,694,0,0,0,1780,0,0,0
county-service-area-no-137-butte,County Service Area No. 137 (Butte),Butte,County Service Area,Dependent,2017-18,F,516,0,0,0,1867,0,0,0
county-service-area-no-137-butte,County Service Area No. 137 (Butte),Butte,County Service Area,Dependent,2018-19,F,870,0,0,0,3137,0,0,0
county-service-area-no-137-butte,County Service Area No. 137 (Butte),Butte,County Service Area,Dependent,2019-20,F,766,0,0,0,3103,0,0,0
county-service-area-no-137-butte,County Service Area No. 137 (Butte),Butte,County Service Area,Dependent,2020-21,F,2425,0,0,0,5944,0,0,0
county-service-area-no-137-butte,County Service Area No. 137 (Butte),Butte,County Service Area,Dependent,2021-22,F,2016,0,0,0,4447,0,0,0
county-service-area-no-137-butte,County Service Area No. 137 (Butte),Butte,County Service Area,Dependent,2022-23,F,35147,0,0,0,6711,0,0,0
county-service-area-no-137-butte,County Service Area No. 137 (Butte),Butte,County Service Area,Dependent,2023-24,F,2011,0,0,0,8379,0,0,0
county-service-area-no-137-san-diego,County Service Area No. 137 (San Diego),San Diego,County Service Area,Independent,2020-21,F,0,859890,0,0,0,3151709,0,0
county-service-area-no-137-san-diego,County Service Area No. 137 (San Diego),San Diego,County Service Area,Independent,2021-22,F,0,358450,0,0,0,2012071,0,0
county-service-area-no-137-san-diego,County Service Area No. 137 (San Diego),San Diego,County Service Area,Independent,2022-23,F,0,315405,0,0,0,2183802,0,0
county-service-area-no-137-san-diego,County Service Area No. 137 (San Diego),San Diego,County Service Area,Independent,2023-24,F,0,388527,0,0,0,451706,0,0
county-service-area-no-138-san-diego,County Service Area No. 138 (San Diego),San Diego,County Service Area,Independent,2020-21,F,,,,,58353,0,0,0
county-service-area-no-138-san-diego,County Service Area No. 138 (San Diego),San Diego,County Service Area,Independent,2021-22,F,209020,0,0,0,339307,0,0,0
county-service-area-no-138-san-diego,County Service Area No. 138 (San Diego),San Diego,County Service Area,Independent,2022-23,F,391475,0,0,0,366154,0,0,0
county-service-area-no-138-san-diego,County Service Area No. 138 (San Diego),San Diego,County Service Area,Independent,2023-24,F,364765,0,0,0,393926,0,0,0
county-service-area-no-14-butte,County Service Area No. 14 (Butte),Butte,County Service Area,Dependent,2016-17,F,7477,0,0,0,9473,0,0,0
county-service-area-no-14-butte,County Service Area No. 14 (Butte),Butte,County Service Area,Dependent,2017-18,F,7150,0,0,0,10627,0,0,0
county-service-area-no-14-butte,County Service Area No. 14 (Butte),Butte,County Service Area,Dependent,2018-19,F,7332,0,0,0,12711,0,0,0
county-service-area-no-14-butte,County Service Area No. 14 (Butte),Butte,County Service Area,Dependent,2019-20,F,5938,0,0,0,14242,0,0,0
county-service-area-no-14-butte,County Service Area No. 14 (Butte),Butte,County Service Area,Dependent,2020-21,F,3400,0,0,0,13944,0,0,0
county-service-area-no-14-butte,County Service Area No. 14 (Butte),Butte,County Service Area,Dependent,2021-22,F,58623,0,0,0,73,0,0,0
county-service-area-no-14-fresno,County Service Area No. 14 (Fresno),Fresno,County Service Area,Dependent,2016-17,F,1620,44491,0,0,2147,40787,0,0
county-service-area-no-14-fresno,County Service Area No. 14 (Fresno),Fresno,County Service Area,Dependent,2017-18,F,702,19280,0,0,2280,43316,0,0
county-service-area-no-14-fresno,County Service Area No. 14 (Fresno),Fresno,County Service Area,Dependent,2018-19,F,1700,46698,0,0,2319,44021,0,0
county-service-area-no-14-fresno,County Service Area No. 14 (Fresno),Fresno,County Service Area,Dependent,2019-20,L,2955,62695,0,0,3808,2070332,0,0
county-service-area-no-14-fresno,County Service Area No. 14 (Fresno),Fresno,County Service Area,Dependent,2020-21,F,80229,0,0,0,85093,0,0,0
county-service-area-no-14-fresno,County Service Area No. 14 (Fresno),Fresno,County Service Area,Dependent,2021-22,F,58770,0,0,0,-65826,0,0,0
county-service-area-no-14-fresno,County Service Area No. 14 (Fresno),Fresno,County Service Area,Dependent,2022-23,F,81111,0,0,0,91569,0,0,0
county-service-area-no-14-fresno,County Service Area No. 14 (Fresno),Fresno,County Service Area,Dependent,2023-24,F,67735,0,0,0,122524,0,0,0
county-service-area-no-14-kern,County Service Area No. 14 (Kern),Kern,County Service Area,Dependent,2016-17,F,22,0,0,0,5573,0,0,0
county-service-area-no-14-kern,County Service Area No. 14 (Kern),Kern,County Service Area,Dependent,2017-18,F,749,0,0,0,5063,0,0,0
county-service-area-no-14-kern,County Service Area No. 14 (Kern),Kern,County Service Area,Dependent,2018-19,F,651,0,0,0,5449,0,0,0
county-service-area-no-14-kern,County Service Area No. 14 (Kern),Kern,County Service Area,Dependent,2019-20,F,1553,0,0,0,6775,0,0,0
county-service-area-no-14-kern,County Service Area No. 14 (Kern),Kern,County Service Area,Dependent,2020-21,F,562,0,0,0,4805,0,0,0
county-service-area-no-14-kern,County Service Area No. 14 (Kern),Kern,County Service Area,Dependent,2021-22,F,501,0,0,0,1672,0,0,0
county-service-area-no-14-kern,County Service Area No. 14 (Kern),Kern,County Service Area,Dependent,2022-23,F,667,0,0,0,6310,0,0,0
county-service-area-no-14-kern,County Service Area No. 14 (Kern),Kern,County Service Area,Dependent,2023-24,F,144,0,0,0,9320,0,0,0
county-service-area-no-14-madera,County Service Area No. 14 (Madera),Madera,County Service Area,Dependent,2016-17,F,731,60441,0,0,2520,65319,0,0
county-service-area-no-14-madera,County Service Area No. 14 (Madera),Madera,County Service Area,Dependent,2017-18,F,525,81207,0,0,2344,62009,0,0
county-service-area-no-14-madera,County Service Area No. 14 (Madera),Madera,County Service Area,Dependent,2018-19,F,782,105482,0,0,2829,48930,0,0
county-service-area-no-14-madera,County Service Area No. 14 (Madera),Madera,County Service Area,Dependent,2019-20,L,479,102726,0,0,2964,48025,0,0
county-service-area-no-14-madera,County Service Area No. 14 (Madera),Madera,County Service Area,Dependent,2020-21,L,486,100442,0,0,2874,50090,0,0
county-service-area-no-14-madera,County Service Area No. 14 (Madera),Madera,County Service Area,Dependent,2021-22,L,736,85228,0,0,2833,53242,0,0
county-service-area-no-14-madera,County Service Area No. 14 (Madera),Madera,County Service Area,Dependent,2022-23,L,1187,88068,0,0,2951,47926,0,0
county-service-area-no-14-madera,County Service Area No. 14 (Madera),Madera,County Service Area,Dependent,2023-24,F,605,105572,0,0,3371,54977,0,0
county-service-area-no-14-marin,County Service Area No. 14 (Marin),Marin,County Service Area,Dependent,2016-17,F,341142,0,0,0,345504,0,0,0
county-service-area-no-14-marin,County Service Area No. 14 (Marin),Marin,County Service Area,Dependent,2017-18,F,360972,0,0,0,360759,0,0,0
county-service-area-no-14-marin,County Service Area No. 14 (Marin),Marin,County Service Area,Dependent,2018-19,F,315689,0,0,0,379222,0,0,0
county-service-area-no-14-marin,County Service Area No. 14 (Marin),Marin,County Service Area,Dependent,2019-20,F,363545,0,0,0,390835,0,0,0
county-service-area-no-14-marin,County Service Area No. 14 (Marin),Marin,County Service Area,Dependent,2020-21,F,361005,0,0,0,537707,0,0,0
county-service-area-no-14-marin,County Service Area No. 14 (Marin),Marin,County Service Area,Dependent,2021-22,F,1398880,0,0,0,416166,0,0,0
county-service-area-no-14-marin,County Service Area No. 14 (Marin),Marin,County Service Area,Dependent,2022-23,F,684665,0,0,0,457473,0,0,0
county-service-area-no-14-marin,County Service Area No. 14 (Marin),Marin,County Service Area,Dependent,2023-24,F,455615,0,0,0,481571,0,0,0
county-service-area-no-14-nevada,County Service Area No. 14 (Nevada),Nevada,County Service Area,Dependent,2016-17,F,3471,0,0,0,27024,0,0,0
county-service-area-no-14-nevada,County Service Area No. 14 (Nevada),Nevada,County Service Area,Dependent,2017-18,F,6135,0,0,0,27698,0,0,0
county-service-area-no-14-nevada,County Service Area No. 14 (Nevada),Nevada,County Service Area,Dependent,2018-19,F,15024,0,0,0,28397,0,0,0
county-service-area-no-14-nevada,County Service Area No. 14 (Nevada),Nevada,County Service Area,Dependent,2019-20,F,8787,0,0,0,28726,0,0,0
county-service-area-no-14-nevada,County Service Area No. 14 (Nevada),Nevada,County Service Area,Dependent,2020-21,F,37744,0,0,0,28395,0,0,0
county-service-area-no-14-nevada,County Service Area No. 14 (Nevada),Nevada,County Service Area,Dependent,2021-22,F,16300,0,0,0,27630,0,0,0
county-service-area-no-14-nevada,County Service Area No. 14 (Nevada),Nevada,County Service Area,Dependent,2022-23,F,164146,0,0,0,27183,0,0,0
county-service-area-no-14-nevada,County Service Area No. 14 (Nevada),Nevada,County Service Area,Dependent,2023-24,F,4804,0,0,0,26919,0,0,0
county-service-area-no-14-san-joaquin,County Service Area No. 14 (San Joaquin),San Joaquin,County Service Area,Dependent,2016-17,F,14463,0,0,0,15234,0,0,0
county-service-area-no-14-san-joaquin,County Service Area No. 14 (San Joaquin),San Joaquin,County Service Area,Dependent,2017-18,F,9057,0,0,0,7003,0,0,0
county-service-area-no-14-san-joaquin,County Service Area No. 14 (San Joaquin),San Joaquin,County Service Area,Dependent,2018-19,F,2247,0,0,0,2032,0,0,0
county-service-area-no-14-san-joaquin,County Service Area No. 14 (San Joaquin),San Joaquin,County Service Area,Dependent,2019-20,F,834,0,0,0,1735,0,0,0
county-service-area-no-14-san-joaquin,County Service Area No. 14 (San Joaquin),San Joaquin,County Service Area,Dependent,2020-21,F,1723,0,0,0,1130,0,0,0
county-service-area-no-14-san-joaquin,County Service Area No. 14 (San Joaquin),San Joaquin,County Service Area,Dependent,2021-22,F,3103,0,0,0,1104,0,0,0
county-service-area-no-14-san-joaquin,County Service Area No. 14 (San Joaquin),San Joaquin,County Service Area,Dependent,2022-23,F,17837,0,0,0,9300,0,0,0
county-service-area-no-14-san-joaquin,County Service Area No. 14 (San Joaquin),San Joaquin,County Service Area,Dependent,2023-24,F,7718,0,0,0,6889,0,0,0
county-service-area-no-14-shasta,County Service Area No. 14 (Shasta),Shasta,County Service Area,Dependent,2016-17,F,115,0,0,0,2495,0,0,0
county-service-area-no-14-shasta,County Service Area No. 14 (Shasta),Shasta,County Service Area,Dependent,2017-18,F,38,0,0,0,2652,0,0,0
county-service-area-no-14-shasta,County Service Area No. 14 (Shasta),Shasta,County Service Area,Dependent,2018-19,F,70,0,0,0,2920,0,0,0
county-service-area-no-14-shasta,County Service Area No. 14 (Shasta),Shasta,County Service Area,Dependent,2019-20,F,95,0,0,0,3100,0,0,0
county-service-area-no-14-shasta,County Service Area No. 14 (Shasta),Shasta,County Service Area,Dependent,2020-21,F,265,0,0,0,2705,0,0,0
county-service-area-no-14-shasta,County Service Area No. 14 (Shasta),Shasta,County Service Area,Dependent,2021-22,F,292,0,0,0,735,0,0,0
county-service-area-no-14-shasta,County Service Area No. 14 (Shasta),Shasta,County Service Area,Dependent,2022-23,F,843,0,0,0,2846,0,0,0
county-service-area-no-14-shasta,County Service Area No. 14 (Shasta),Shasta,County Service Area,Dependent,2023-24,F,359,0,0,0,4897,0,0,0
county-service-area-no-14-stanislaus,County Service Area No. 14 (Stanislaus),Stanislaus,County Service Area,Dependent,2016-17,F,,,,,15,0,0,0
county-service-area-no-14-stanislaus,County Service Area No. 14 (Stanislaus),Stanislaus,County Service Area,Dependent,2017-18,F,,,,,36,0,0,0
county-service-area-no-14-stanislaus,County Service Area No. 14 (Stanislaus),Stanislaus,County Service Area,Dependent,2018-19,F,,,,,124,0,0,0
county-service-area-no-14-stanislaus,County Service Area No. 14 (Stanislaus),Stanislaus,County Service Area,Dependent,2019-20,F,,,,,136,0,0,0
county-service-area-no-14-stanislaus,County Service Area No. 14 (Stanislaus),Stanislaus,County Service Area,Dependent,2020-21,F,,,,,-2,0,0,0
county-service-area-no-14-stanislaus,County Service Area No. 14 (Stanislaus),Stanislaus,County Service Area,Dependent,2021-22,F,,,,,-168,0,0,0
county-service-area-no-14-stanislaus,County Service Area No. 14 (Stanislaus),Stanislaus,County Service Area,Dependent,2022-23,F,,,,,78,0,0,0
county-service-area-no-14-stanislaus,County Service Area No. 14 (Stanislaus),Stanislaus,County Service Area,Dependent,2023-24,F,,,,,228,0,0,0
county-service-area-no-14-ventura,County Service Area No. 14 (Ventura),Ventura,County Service Area,Dependent,2016-17,F,280540,0,0,0,436147,0,0,0
county-service-area-no-14-ventura,County Service Area No. 14 (Ventura),Ventura,County Service Area,Dependent,2017-18,F,282818,0,0,0,476673,0,0,0
