# Citizen Ledger — special districts — COMPLETE LAYER EXPORT
# Source dataset: California State Controller — special districts financial transactions reports, as filed
# Accounting basis: Reported as filed with the State Controller, by fund class
# Gate tier: AS FILED — UNRECONCILED. Three of the four fund-class buckets have no published total to check against: for enterprise, internal-service and conduit funds the Controller publishes operating and nonoperating components and never their sum. A control exists for the governmental bucket only. No figure in this file has been verified against an independently published total
# Units: as-filed dollars
# Measured as: REPORTED AS FILED WITH THE STATE CONTROLLER, BY FUND CLASS · AS-FILED DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-26
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# Fund-class columns: gov = governmental funds; ent = enterprise funds; isf = internal service funds; cf = conduit financing
# filing_status is the Controller's own per-year code for that district; '-' means no filing is recorded for that year.
# An entity-year with no filing at all is omitted rather than written as zero.
slug,name,county,activity,district_type,fiscal_year,filing_status,exp_gov_usd,exp_ent_usd,exp_isf_usd,exp_cf_usd,rev_gov_usd,rev_ent_usd,rev_isf_usd,rev_cf_usd
abag-publicly-owned-energy-resources-abag-power,ABAG Publicly Owned Energy Resources (ABAG Power),Alameda,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2018-19,F,0,7594504,0,0,0,7594504,0,0
abag-publicly-owned-energy-resources-abag-power,ABAG Publicly Owned Energy Resources (ABAG Power),Alameda,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2019-20,F,0,6851665,0,0,0,6851665,0,0
abag-publicly-owned-energy-resources-abag-power,ABAG Publicly Owned Energy Resources (ABAG Power),Alameda,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2020-21,F,0,8060605,0,0,0,8060605,0,0
abag-publicly-owned-energy-resources-abag-power,ABAG Publicly Owned Energy Resources (ABAG Power),Alameda,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2021-22,F,0,10495262,0,0,0,10495262,0,0
abag-publicly-owned-energy-resources-abag-power,ABAG Publicly Owned Energy Resources (ABAG Power),Alameda,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2022-23,F,0,14941345,0,0,0,14941345,0,0
abag-publicly-owned-energy-resources-abag-power,ABAG Publicly Owned Energy Resources (ABAG Power),Alameda,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2023-24,F,0,10394487,0,0,0,10394487,0,0
academic-village-finance-authority,Academic Village Finance Authority,San Francisco,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2022-23,F,18567442,0,0,0,18567442,0,0,0
academic-village-finance-authority,Academic Village Finance Authority,San Francisco,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2023-24,F,23148329,0,0,0,12942562,0,0,0
acampo-maintenance-district-san-joaquin,Acampo Maintenance District (San Joaquin),San Joaquin,Maintenance,Dependent,2016-17,F,0,56844,0,0,0,38847,0,0
acampo-maintenance-district-san-joaquin,Acampo Maintenance District (San Joaquin),San Joaquin,Maintenance,Dependent,2017-18,F,0,77102,0,0,0,41153,0,0
acampo-maintenance-district-san-joaquin,Acampo Maintenance District (San Joaquin),San Joaquin,Maintenance,Dependent,2018-19,F,0,51574,0,0,0,46899,0,0
acampo-maintenance-district-san-joaquin,Acampo Maintenance District (San Joaquin),San Joaquin,Maintenance,Dependent,2019-20,F,0,53525,0,0,0,45513,0,0
acampo-maintenance-district-san-joaquin,Acampo Maintenance District (San Joaquin),San Joaquin,Maintenance,Dependent,2020-21,F,0,57861,0,0,0,338510,0,0
acampo-maintenance-district-san-joaquin,Acampo Maintenance District (San Joaquin),San Joaquin,Maintenance,Dependent,2021-22,F,0,104137,0,0,0,46353,0,0
acampo-maintenance-district-san-joaquin,Acampo Maintenance District (San Joaquin),San Joaquin,Maintenance,Dependent,2022-23,F,0,76488,0,0,0,55380,0,0
acampo-maintenance-district-san-joaquin,Acampo Maintenance District (San Joaquin),San Joaquin,Maintenance,Dependent,2023-24,F,0,76199,0,0,0,69775,0,0
adams-springs-water-district,Adams Springs Water District,Lake,California Water,Independent,2016-17,F,0,47000,0,0,0,32684,0,0
adams-springs-water-district,Adams Springs Water District,Lake,California Water,Independent,2017-18,F,0,38281,0,0,0,44862,0,0
adelanto-public-financing-authority,Adelanto Public Financing Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2016-17,F,3863398,0,0,0,3863398,0,0,0
adelanto-public-financing-authority,Adelanto Public Financing Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2017-18,F,2888095,0,0,0,2888095,0,0,0
adelanto-public-financing-authority,Adelanto Public Financing Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2018-19,L,2905198,0,0,0,2905198,0,0,0
adelanto-public-financing-authority,Adelanto Public Financing Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2019-20,L,2969299,0,0,0,2969299,0,0,0
adelanto-public-financing-authority,Adelanto Public Financing Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2020-21,L,3640670,0,0,0,3640670,0,0,0
adelanto-public-financing-authority,Adelanto Public Financing Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2021-22,L,4066005,0,0,0,4066005,0,0,0
adelanto-public-financing-authority,Adelanto Public Financing Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2022-23,L,3004380,0,0,0,3004380,0,0,0
adelanto-public-financing-authority,Adelanto Public Financing Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2023-24,L,3195950,0,0,0,3195950,0,0,0
adelanto-public-utility-authority,Adelanto Public Utility Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2016-17,F,0,12681147,0,0,0,16549768,0,0
adelanto-public-utility-authority,Adelanto Public Utility Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2017-18,F,0,13323868,0,0,0,17906145,0,0
adelanto-public-utility-authority,Adelanto Public Utility Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2018-19,L,0,11797741,0,0,0,19222912,0,0
adelanto-public-utility-authority,Adelanto Public Utility Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2019-20,L,0,12147048,0,0,0,16329061,0,0
adelanto-public-utility-authority,Adelanto Public Utility Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2020-21,L,0,12351241,0,0,0,18528849,0,0
adelanto-public-utility-authority,Adelanto Public Utility Authority,San Bernardino,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2023-24,L,0,22810346,0,0,0,19461501,0,0
adin-cemetery-district,Adin Cemetery District,Modoc,Cemetery,Independent,2016-17,F,30509,0,0,0,34807,0,0,0
adin-cemetery-district,Adin Cemetery District,Modoc,Cemetery,Independent,2017-18,F,17903,0,0,0,29942,0,0,0
adin-cemetery-district,Adin Cemetery District,Modoc,Cemetery,Independent,2018-19,F,30218,0,0,0,31096,0,0,0
adin-cemetery-district,Adin Cemetery District,Modoc,Cemetery,Independent,2019-20,F,24651,0,0,0,25827,0,0,0
adin-cemetery-district,Adin Cemetery District,Modoc,Cemetery,Independent,2020-21,F,17823,0,0,0,35514,0,0,0
adin-cemetery-district,Adin Cemetery District,Modoc,Cemetery,Independent,2021-22,F,17712,0,0,0,31069,0,0,0
adin-cemetery-district,Adin Cemetery District,Modoc,Cemetery,Independent,2022-23,F,21730,0,0,0,31805,0,0,0
adin-cemetery-district,Adin Cemetery District,Modoc,Cemetery,Independent,2023-24,F,17250,0,0,0,34231,0,0,0
adin-community-services-district,Adin Community Services District,Modoc,Community Services,Independent,2016-17,F,0,69911,0,0,0,43223,0,0
adin-community-services-district,Adin Community Services District,Modoc,Community Services,Independent,2017-18,F,0,63556,0,0,0,42228,0,0
adin-community-services-district,Adin Community Services District,Modoc,Community Services,Independent,2018-19,F,0,67255,0,0,0,53008,0,0
adin-community-services-district,Adin Community Services District,Modoc,Community Services,Independent,2019-20,L,0,46807,0,0,0,45614,0,0
adin-community-services-district,Adin Community Services District,Modoc,Community Services,Independent,2020-21,L,0,42457,0,0,0,45591,0,0
adin-community-services-district,Adin Community Services District,Modoc,Community Services,Independent,2021-22,L,0,45854,0,0,0,46318,0,0
adin-community-services-district,Adin Community Services District,Modoc,Community Services,Independent,2022-23,F,0,48217,0,0,0,45577,0,0
adin-community-services-district,Adin Community Services District,Modoc,Community Services,Independent,2023-24,F,0,65220,0,0,0,45028,0,0
adin-fire-protection-district,Adin Fire Protection District,Modoc,Fire Protection,Independent,2016-17,F,34818,0,0,0,54048,0,0,0
adin-fire-protection-district,Adin Fire Protection District,Modoc,Fire Protection,Independent,2017-18,F,85545,0,0,0,94550,0,0,0
adin-fire-protection-district,Adin Fire Protection District,Modoc,Fire Protection,Independent,2018-19,F,56592,0,0,0,106046,0,0,0
adin-fire-protection-district,Adin Fire Protection District,Modoc,Fire Protection,Independent,2019-20,F,26607,0,0,0,26412,0,0,0
adin-fire-protection-district,Adin Fire Protection District,Modoc,Fire Protection,Independent,2020-21,F,42153,0,0,0,84933,0,0,0
adin-fire-protection-district,Adin Fire Protection District,Modoc,Fire Protection,Independent,2021-22,F,265401,0,0,0,394199,0,0,0
adin-fire-protection-district,Adin Fire Protection District,Modoc,Fire Protection,Independent,2022-23,F,95935,0,0,0,305426,0,0,0
adin-fire-protection-district,Adin Fire Protection District,Modoc,Fire Protection,Independent,2023-24,F,34175,0,0,0,48996,0,0,0
adin-lighting-district,Adin Lighting District,Modoc,Highway Lighting,Dependent,2016-17,F,1611,0,0,0,2465,0,0,0
adin-lighting-district,Adin Lighting District,Modoc,Highway Lighting,Dependent,2017-18,F,1535,0,0,0,2603,0,0,0
adin-lighting-district,Adin Lighting District,Modoc,Highway Lighting,Dependent,2018-19,F,1544,0,0,0,3322,0,0,0
adin-lighting-district,Adin Lighting District,Modoc,Highway Lighting,Dependent,2019-20,F,1544,0,0,0,3714,0,0,0
adin-lighting-district,Adin Lighting District,Modoc,Highway Lighting,Dependent,2020-21,F,1510,0,0,0,3264,0,0,0
adin-lighting-district,Adin Lighting District,Modoc,Highway Lighting,Dependent,2021-22,F,1524,0,0,0,3666,0,0,0
adin-lighting-district,Adin Lighting District,Modoc,Highway Lighting,Dependent,2022-23,F,1736,0,0,0,3301,0,0,0
adin-lighting-district,Adin Lighting District,Modoc,Highway Lighting,Dependent,2023-24,F,1913,0,0,0,4245,0,0,0
advancing-california-finance-authority,Advancing California Finance Authority,San Francisco,Joint Powers Authority (JPA),Joint Powers Authority (JPA),2021-22,F,0,0,0,847764,0,0,0,725133
