# Citizen Ledger — cities — COMPLETE LAYER EXPORT
# Source dataset: City annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Measured as: REPORTED ACTUAL REVENUES AND EXPENDITURES FROM STANDARDIZED ANNUAL FINANCIAL REPORTS FILED WITH THE STATE CONTROLLER · MILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-26
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A $0 in a function column can be a real filed zero — a city that contracts the service to its county files $0. The site's services checklist distinguishes the two; see about.html.
# Function columns: exp_police_musd = Police; exp_fire_musd = Fire; exp_safetyOther_musd = Other public safety; exp_streets_musd = Streets & transportation; exp_housing_musd = Community development & housing; exp_sanitation_musd = Sewer & solid waste; exp_health_musd = Health & welfare; exp_parks_musd = Parks & recreation; exp_library_musd = Libraries; exp_cultureOther_musd = Other culture & leisure; exp_utilities_musd = Public utilities (governmental); exp_admin_musd = General government; exp_other_musd = Other expenditures; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_fire_musd,exp_safetyOther_musd,exp_streets_musd,exp_housing_musd,exp_sanitation_musd,exp_health_musd,exp_parks_musd,exp_library_musd,exp_cultureOther_musd,exp_utilities_musd,exp_admin_musd,exp_other_musd,exp_debt_musd,exp_capital_musd
cypress,Cypress,Orange,2022-23,49818,62.156,46.35,20.091,0,1.292,5.947,4.25,0.139,0,7.103,0.016,0,0,4.511,0,0,3.002
cypress,Cypress,Orange,2023-24,49345,64.838,68.23,21,0,1.673,8.624,4.272,0.149,0,7.997,0.016,0,0,5.949,0,0,18.552
daly-city,Daly City,San Mateo,2016-17,109287,92.334,94.712,32.4,18.083,0,5.861,4.233,0,0,8.403,4.785,0,0,10.174,0,0.32,10.452
daly-city,Daly City,San Mateo,2017-18,107864,97.542,93.321,33.065,17.88,0,6.377,5.116,0,0,8.211,4.698,0,0,10.26,0,0.337,7.376
daly-city,Daly City,San Mateo,2018-19,109122,108.389,96.51,34.661,19.68,0,6.82,4.531,0,0,8.962,5.224,0,0,9.076,0,0.354,7.202
daly-city,Daly City,San Mateo,2019-20,109142,116.314,104.68,35.604,21.265,0.025,7.094,4.841,0,0,9.011,5.297,0.132,0,10.355,0,0.371,10.684
daly-city,Daly City,San Mateo,2020-21,103930,106.49,111.742,38.954,24.725,0.089,4.249,7.753,0,0,7.991,5.103,0.002,0,12.848,0,0.388,9.639
daly-city,Daly City,San Mateo,2021-22,102875,128.389,119.714,40.099,28.722,0,4.405,10.082,0,0,10.449,5.88,0,0,13.445,0,0.477,6.155
daly-city,Daly City,San Mateo,2022-23,101471,137.594,127.266,34.866,30.061,0,5.439,8.543,0,0,11.708,6.632,0,0,20.661,0,0.783,8.573
daly-city,Daly City,San Mateo,2023-24,101458,148.026,143.407,45.102,32.317,0,6.352,9.004,0,0,12.824,7.08,0,0,14.138,0,0.852,15.738
dana-point,Dana Point,Orange,2016-17,33699,40.323,40.601,11.667,0,1,4.155,8.306,0,0,6.042,0,0,0,4.965,0,0,4.466
dana-point,Dana Point,Orange,2017-18,34071,43.007,40.318,12.679,0,1.025,3.8,7.587,0,0,5.908,0,0,0,5.266,0,0,4.052
dana-point,Dana Point,Orange,2018-19,34249,45.931,43.218,12.967,0,0.811,3.136,8.486,0,0,6.818,0,0,0,5.495,0,0,5.504
dana-point,Dana Point,Orange,2019-20,33146,42.618,42.991,13.333,0,1.145,4.618,8.551,0,0,4.587,0,0,0,6.268,0,0,4.489
dana-point,Dana Point,Orange,2020-21,33053,45.342,40.737,9.407,0,0.918,2.703,9.021,0,4.825,3.906,0,0,0,4.968,0,0,4.991
dana-point,Dana Point,Orange,2021-22,32943,55.342,45.045,8.906,0,1.248,3.844,9.422,0,4.514,5.492,0,0,0,6.517,0,0.093,5.011
dana-point,Dana Point,Orange,2022-23,33155,56.568,52.421,14.267,0,1.393,4.522,9.972,0,0.221,5.805,0,0,0,9.599,0,0.331,6.309
dana-point,Dana Point,Orange,2023-24,32596,60.113,57.195,14.858,0,1.507,4.026,10.941,0,0,6.884,0,0,0,9.826,0,0.366,8.787
danville,Danville,Contra Costa,2016-17,43355,36.635,35.083,7.365,0,0.573,5.769,2.774,0,0.491,3.553,0,0,0,6.502,0,0.791,7.265
danville,Danville,Contra Costa,2017-18,44396,37.71,45.845,7.811,0,0.573,5.942,2.667,0,0.431,3.601,0,0,0,7.022,0,0.792,17.006
danville,Danville,Contra Costa,2018-19,45270,44.312,43.292,6.979,0,0.542,9.579,2.4,0.238,0.516,3.946,0.031,0,0,13.487,0,0.792,4.782
danville,Danville,Contra Costa,2019-20,43876,42.301,46.542,7.05,0,0.443,6.291,2.645,0,0.314,4.559,0.024,0,0,11.204,0,0.812,13.198
danville,Danville,Contra Costa,2020-21,43373,41.973,35.36,6.56,0,0.444,6.831,2.23,0,0.521,2.806,0.011,0,0,11.257,0,0.789,3.911
danville,Danville,Contra Costa,2021-22,43352,42.471,41.761,7.324,0,0.476,8.53,2.601,0,1.173,3.21,0.023,0,0,10.097,0,0.785,7.542
danville,Danville,Contra Costa,2022-23,42823,51.522,45.311,7.016,0,0.759,6.716,3.178,0,1.036,5.02,0.01,0,0,14.623,0,0.859,6.094
danville,Danville,Contra Costa,2023-24,42567,57.905,49.528,8.105,0,1.017,8.309,2.671,0.175,2.098,6.096,0.021,0,0,13.475,0,0.867,6.695
davis,Davis,Yolo,2016-17,68740,76.283,74.241,19.261,11.134,0.392,7.255,5.644,0,0,12.309,0,0,0,11.381,0,0,6.864
davis,Davis,Yolo,2017-18,68704,76.986,77.194,20.335,11.502,0.442,5.37,6.893,0,0,12.674,0,0,0,8.897,0,0.214,10.868
davis,Davis,Yolo,2018-19,69761,88.695,89.087,20.604,12.475,0.403,6.476,9.123,0,0,12.671,0,0,0,7.829,0,0.214,19.291
davis,Davis,Yolo,2019-20,69183,82.52,79.837,20.843,14.562,0.386,3.135,8.93,0,0.302,13.337,0,0,0,10.268,0,0.214,7.861
davis,Davis,Yolo,2020-21,66687,99,83.94,20.588,13.874,0.581,2.257,9.139,0,2.242,12.931,0,0,0,10.218,0,0.214,11.896
davis,Davis,Yolo,2021-22,64869,110.519,90.786,20.869,14.377,0.422,4.299,10.29,0,1.194,14.313,0,0,0,7.817,0,0.214,16.99
davis,Davis,Yolo,2022-23,64097,87.978,93.72,21.293,14.687,0.688,6.864,9.518,0.085,0.034,13.229,0,0.079,0.566,12.023,0,0.214,14.441
davis,Davis,Yolo,2023-24,65054,92.975,105.676,24.394,16.708,0.803,7.601,13.78,0.105,0.031,15.485,0,0,0.952,9.653,0,0.214,15.95
del-mar,Del Mar,San Diego,2016-17,4297,18.121,26.891,2.854,1.919,0.298,0.342,1.792,0,0.017,2.011,0,0.181,0,4.767,0,0.757,11.952
del-mar,Del Mar,San Diego,2017-18,4322,20.947,27.277,3.234,1.967,0.251,0.414,1.821,0,0.019,1.898,0,0.01,0,4.161,0,1.155,12.347
del-mar,Del Mar,San Diego,2018-19,4451,22.288,24.733,3.451,2.171,0.374,1.052,1.861,0,0.019,1.983,0,0,0.006,5.036,0,1.137,7.643
del-mar,Del Mar,San Diego,2019-20,4268,20.638,22.714,3.488,2.45,0.501,0.479,1.763,0,0.019,2.08,0,0.006,0,5.841,0,1.135,4.954
del-mar,Del Mar,San Diego,2020-21,3957,20.594,16.471,3.388,2.398,0.453,0.378,1.72,0,0.022,1.899,0,0.007,0,4.648,0,0.973,0.585
del-mar,Del Mar,San Diego,2021-22,3929,23.945,18.427,3.461,2.415,0.44,0.505,1.865,0,0.022,2.269,0,0.01,0,4.562,0,1.047,1.83
del-mar,Del Mar,San Diego,2022-23,3903,27.756,21.528,3.771,2.328,0.549,0.591,1.956,0,0.021,2.426,0,0.019,0,5.874,0,1.174,2.82
del-mar,Del Mar,San Diego,2023-24,3919,28.174,23.221,3.793,2.625,0.659,0.626,2.36,0,0.023,2.691,0,0.011,0,5.554,0,1.234,3.645
del-rey-oaks,Del Rey Oaks,Monterey,2016-17,1681,2.957,2.905,1.277,0.195,0,0.152,0.091,0,0,0.062,0,0,0,0.921,0,0.125,0.082
del-rey-oaks,Del Rey Oaks,Monterey,2017-18,1692,3.579,3.021,1.195,0.244,0,0.141,0.184,0,0,0.035,0,0,0,0.875,0,0.092,0.256
del-rey-oaks,Del Rey Oaks,Monterey,2018-19,1734,5.113,4.437,1.703,0.197,0,0.195,0.293,0,0,0.108,0,0,0,0.797,0,0.068,1.077
del-rey-oaks,Del Rey Oaks,Monterey,2019-20,1662,14.417,4.72,2.077,0.201,0,0.154,0.198,0,0,0.077,0,0,0,0.92,0,0.666,0.425
del-rey-oaks,Del Rey Oaks,Monterey,2020-21,1558,4.182,4.099,2.04,0.209,0,0.219,0.211,0,0,0.028,0,0,0,1.119,0,0.09,0.183
del-rey-oaks,Del Rey Oaks,Monterey,2021-22,1539,5.109,4.269,2.133,0.214,0,0.246,0.143,0,0,0.027,0,0,0,1.114,0,0.137,0.255
del-rey-oaks,Del Rey Oaks,Monterey,2022-23,1540,5.027,4.802,2.501,0.219,0,0.277,0.12,0,0,0.048,0,0,0,1.152,0,0.129,0.356
del-rey-oaks,Del Rey Oaks,Monterey,2023-24,1569,5.241,4.89,2.559,0.248,0,0.275,0.209,0,0,0.041,0,0,0,1.205,0,0.128,0.226
delano,Delano,Kern,2016-17,53152,30.883,30.561,10.06,2.214,0.197,1.775,2.813,0,0.019,2.306,0,0,0,3.225,0,2.427,5.525
delano,Delano,Kern,2017-18,53276,38.278,34.731,10.772,2.279,0.195,1.735,3.047,0,0.025,2.299,0,0,0,3.523,0,2.472,8.382
delano,Delano,Kern,2018-19,53936,41.104,36.141,11.242,2.348,0.214,1.795,2.908,0,0.025,2.829,0,0,0,2.677,0,2.411,9.693
delano,Delano,Kern,2019-20,53032,38.331,31.494,11.425,1.806,0.268,1.635,2.754,0,1.903,2.834,0,0.055,0,1.256,0,2.46,5.098
delano,Delano,Kern,2020-21,50045,39.709,34.115,9.996,2.42,0.854,1.553,2.826,0,0.708,2.724,0,0.168,0,1.231,0,2.465,9.171
delano,Delano,Kern,2021-22,51258,39.696,34.589,10.524,2.531,1.29,2.403,3.794,0,0.713,2.944,0,0.147,0,1.743,0,2.346,6.153
delano,Delano,Kern,2022-23,51727,42.655,42.723,13.052,2.599,0.282,2.049,3.748,0,0.011,3.197,0,0.181,0,1.921,0,2.194,13.49
delano,Delano,Kern,2023-24,52484,64.497,55.558,13.467,2.751,0.297,4.132,3.757,0,0.009,3.848,0,0.262,0,3.113,0,2.339,21.583
desert-hot-springs,Desert Hot Springs,Riverside,2016-17,29111,21.943,31.926,6.205,1.623,0.232,1.356,1.49,0,0.04,0.886,0,0.082,0,4.517,0,12.633,2.862
desert-hot-springs,Desert Hot Springs,Riverside,2017-18,29742,24.561,24.776,6.614,1.877,0.349,1.915,2.246,0,0.036,1.372,0,0.093,0,3.992,0,1.659,4.622
desert-hot-springs,Desert Hot Springs,Riverside,2018-19,29251,28.068,26.612,7.764,1.5,0.417,1.831,2.352,0,0.038,1.243,0,0.115,0,4.332,0,1.712,5.307
desert-hot-springs,Desert Hot Springs,Riverside,2019-20,29660,30.669,40.335,9.009,1.667,0.517,1.674,3.088,0,0.068,1.567,0,0.124,0,5.996,0,1.701,14.926
desert-hot-springs,Desert Hot Springs,Riverside,2020-21,32546,34.05,28.81,9.644,1.481,0.578,2.102,3.082,0,0.342,1.621,0,0.108,0,6.157,0,1.91,1.787
desert-hot-springs,Desert Hot Springs,Riverside,2021-22,32569,38.37,36.869,11.501,1.858,0.513,2.514,4.2,0,0.087,2.535,0,0.114,0,6.247,0,2.802,4.497
desert-hot-springs,Desert Hot Springs,Riverside,2022-23,32608,47.142,47.477,12.132,2.084,0.567,3.632,6.588,0,0.072,3.292,0,0.127,0,8.258,0,2.389,8.337
desert-hot-springs,Desert Hot Springs,Riverside,2023-24,32654,45.915,55.264,12.399,1.976,1.147,4.8,4.685,0,0.744,2.6,0,0.141,0,10.352,0,2.517,13.904
diamond-bar,Diamond Bar,Los Angeles,2016-17,57066,31.442,30.712,6.351,0.007,0.291,7.659,3.601,0.561,0.042,3.02,0,0.963,0,4.316,0,0.859,3.041
diamond-bar,Diamond Bar,Los Angeles,2017-18,57460,32.362,32.012,6.666,0.007,0.299,7.489,3.588,0.495,0.033,3.131,0,1.076,0,5.138,0,0.859,3.231
diamond-bar,Diamond Bar,Los Angeles,2018-19,57495,41.963,33.412,6.927,0.007,0.202,6.63,3.708,0.45,0.033,3.167,0,1.274,0,7.445,0,0.858,2.709
diamond-bar,Diamond Bar,Los Angeles,2019-20,57177,34.159,30.876,7.141,0.007,1.486,5.681,3.555,0.496,0.037,2.872,0,1.124,0,5.013,0,0.861,2.604
diamond-bar,Diamond Bar,Los Angeles,2020-21,54782,34.344,26.741,7.142,0.007,1.555,2.713,3.991,0.325,0.012,3.083,0,0.389,0,5.098,0,1.029,1.398
diamond-bar,Diamond Bar,Los Angeles,2021-22,54204,38.503,27.113,7.59,0.007,1.759,4.706,2.805,0.409,0.011,1.901,0,1.149,0,5.593,0,0.735,0.448
diamond-bar,Diamond Bar,Los Angeles,2022-23,53381,44.919,35.695,7.729,0.007,1.661,5.697,3.434,0.512,0.011,1.991,0,1.439,0,5.583,0,0.719,6.91
diamond-bar,Diamond Bar,Los Angeles,2023-24,53335,44.27,39.222,8.287,0.007,1.984,6.232,3.547,0.605,0.009,2.279,0,1.485,0,5.897,0,0.716,8.174
dinuba,Dinuba,Tulare,2016-17,24861,25.811,33.1,8.633,2.188,0.524,1.776,0.27,0,0,1.641,0,0,0,6.364,0,8.894,2.812
dinuba,Dinuba,Tulare,2017-18,24873,24.207,23.584,7.317,3.327,0.65,0.966,1.92,0,0,1.78,0,0,0,3.161,0,2.125,2.338
dinuba,Dinuba,Tulare,2018-19,25328,26.858,23.9,7.186,3.112,0.637,1.268,1.614,0.017,0,1.84,0,0,0,2.632,0,2.134,3.459
dinuba,Dinuba,Tulare,2019-20,25994,31.554,25.926,7.502,3.164,0.655,1.522,1.665,0.196,0,1.839,0,0,0,2.737,0,2.251,4.394
dinuba,Dinuba,Tulare,2020-21,24872,43.812,31.35,7.67,3.303,0.907,1.402,1.405,0.021,0,1.777,0,0,0,2.878,0,2.289,9.697
dinuba,Dinuba,Tulare,2021-22,25127,41.823,31.817,8.152,3.251,0.676,1.566,2.048,0,0,2.297,0,0,0,3.296,0,2.245,8.286
dinuba,Dinuba,Tulare,2022-23,25469,33.126,41.829,8.37,3.304,0.807,1.619,2.147,0,0,2.661,0,0,0,3.454,9.306,2.264,7.899
dinuba,Dinuba,Tulare,2023-24,25573,37.794,37.501,8.87,3.295,0.284,2.245,2.113,0,0.002,2.76,0,0,0,3.088,0,2.171,12.672
dixon,Dixon,Solano,2016-17,19298,26.307,24.918,4.033,3.981,0.134,4.928,5.383,0,0.004,1.851,0,0.022,0.155,2.826,0,0.267,1.332
dixon,Dixon,Solano,2017-18,19896,26.709,25.331,4.657,4.368,0.153,1.11,1.79,0,0.023,2.007,0,0.011,0.15,3.398,0,0.265,7.398
dixon,Dixon,Solano,2018-19,19794,33.241,26.948,5.174,4.7,0.174,1.318,2.604,0,0.027,2.073,0,0.044,0.107,3.928,0,0.268,6.53
dixon,Dixon,Solano,2019-20,19972,38.747,32.998,6.03,4.992,0.182,2.613,3.548,0,0.021,2.128,0,0,0.222,3.701,0,0.349,9.212
dixon,Dixon,Solano,2020-21,19094,55.732,45.064,6.311,5.954,0.179,2.369,4.078,0,0.022,2.46,0,0,0.216,4.235,0,0.439,18.801
dixon,Dixon,Solano,2021-22,19083,50.461,37.574,6.8,6.057,0.147,1.304,5.857,0,0.02,2.69,0,0,0.256,4.673,0,0.121,9.648
dixon,Dixon,Solano,2022-23,19018,42.856,36.135,7.935,6.412,0.146,1.545,4.988,0,0,2.87,0,0.171,0.176,5.458,0,0.501,5.936
dixon,Dixon,Solano,2023-24,19403,54.462,33.604,8.264,6.935,0.178,2.197,4.167,0,0,3.089,0,0.205,0.273,5.751,0,0.564,1.981
dorris,Dorris,Siskiyou,2016-17,966,1.082,0.822,0.214,0.027,0.033,0.06,0.198,0,0,0.01,0,0,0.098,0.158,0,0,0.023
dorris,Dorris,Siskiyou,2017-18,966,1.722,0.868,0.213,0.034,0.03,0.024,0.256,0,0,0,0,0,0.11,0.175,0,0,0.026
dorris,Dorris,Siskiyou,2018-19,903,0.791,0.988,0.212,0.035,0.032,0.025,0.209,0,0,0,0.001,0,0.013,0.081,0,0,0.38
dorris,Dorris,Siskiyou,2019-20,996,0.935,1.02,0.227,0.029,0.027,0.023,0.165,0,0,0,0.001,0,0,0.075,0,0,0.472
dorris,Dorris,Siskiyou,2020-21,859,0.689,0.538,0.171,0.036,0.015,0.035,0.128,0,0,0,0.007,0,0,0.147,0,0,0
dorris,Dorris,Siskiyou,2021-22,847,0.795,0.682,0.216,0.024,0.029,0.015,0.126,0,0,0,0,0,0,0.097,0,0,0.176
dorris,Dorris,Siskiyou,2022-23,839,0.632,0.824,0.221,0.032,0.027,0.051,0.152,0,0,0.004,0,0,0,0.144,0,0,0.193
dorris,Dorris,Siskiyou,2023-24,836,0.878,0.9,0.22,0.024,0.034,0.043,0.218,0,0,0.013,0.008,0,0,0.225,0,0,0.114
dos-palos,Dos Palos,Merced,2016-17,5391,2.734,2.573,1.001,0.032,0.109,0.324,0.094,0.728,0,0.059,0,0.014,0,0.156,0,0.056,0
dos-palos,Dos Palos,Merced,2017-18,5679,3.005,2.427,0.941,0.036,0.041,0.241,0.129,0.786,0,0.06,0,0,0,0.109,0,0.06,0.023
dos-palos,Dos Palos,Merced,2018-19,5541,3.081,2.685,1.125,0.042,0.035,0.342,0.071,0.809,0,0.073,0,0,0,0.12,0,0.051,0.019
dos-palos,Dos Palos,Merced,2019-20,5546,3.336,2.986,1.297,0.034,0.043,0.311,0.097,0.766,0,0.086,0,0,0,0.153,0,0.046,0.154
dos-palos,Dos Palos,Merced,2020-21,5835,3.589,3.28,1.584,0.031,0.037,1.097,0.039,0,0,0.062,0,0,0,0.183,0,0.041,0.207
dos-palos,Dos Palos,Merced,2021-22,5715,3.307,3.161,1.716,0.048,0.045,0.714,0.048,0,0,0.081,0,0,0,0.202,0,0.05,0.257
dos-palos,Dos Palos,Merced,2022-23,5640,2.895,2.936,1.76,0.037,0.045,0.588,0.063,0,0,0.097,0,0,0,0.214,0,0.059,0.073
dos-palos,Dos Palos,Merced,2023-24,5633,3.395,4.076,1.891,0.035,0.053,0.465,0.18,0,0.004,0.352,0,0,0,0.283,0,0.019,0.795
downey,Downey,Los Angeles,2016-17,113832,101.399,107.169,35.771,17.87,6.044,2.543,4.748,3.088,1.005,7.481,2.034,2.119,0,11.561,0,2.263,10.643
downey,Downey,Los Angeles,2017-18,114146,115.292,111.499,37.112,18.024,6.687,6.03,6.81,0,1.678,7.784,2.068,2.89,0,10.476,0,3.631,8.309
downey,Downey,Los Angeles,2018-19,114212,133.449,147.385,39.511,19.115,7.137,6.497,7.839,0.675,0.13,7.322,3.228,2.38,0,11.017,0,6.357,36.177
downey,Downey,Los Angeles,2019-20,113529,123.379,172.737,40.271,20.314,7.88,6.73,7.07,0.767,0.212,6.776,2.981,2.57,0.001,13.046,0,5.864,58.254
downey,Downey,Los Angeles,2020-21,113525,137.804,147.599,42.977,22.229,7.945,5.944,8.94,0,0.969,6.024,3.11,2.564,0.002,10.759,0,6.792,29.345
downey,Downey,Los Angeles,2021-22,112584,148.394,147.676,40.463,20.473,7.999,6.504,6.707,0,1.202,6.39,3.362,2.773,0.005,13.165,0,11.9,26.733
downey,Downey,Los Angeles,2022-23,111261,149.664,148.383,44.221,24.375,6.034,8.313,6.468,0,1.749,7.899,3.847,3.202,0,6.956,0,14.163,21.155
downey,Downey,Los Angeles,2023-24,111493,172.586,152.885,46.714,27.029,6.992,12.018,7.489,0,1.873,8.732,5.149,3.136,0,6.229,0,14.589,12.936
duarte,Duarte,Los Angeles,2016-17,22033,17.651,20.359,5.382,0,0.992,3.588,2.562,0,0,3.011,0,0,0,3.951,0,0.173,0.7
duarte,Duarte,Los Angeles,2017-18,22013,22.028,19.632,5.573,0,1.011,2.051,2.583,0,0,3.106,0,0,0,4.24,0,0.173,0.895
duarte,Duarte,Los Angeles,2018-19,21952,20.456,21.908,6.004,0,1.144,2.018,2.126,0,0,3.133,0,0,0,4.544,0,0.173,2.766
duarte,Duarte,Los Angeles,2019-20,21673,21.702,22.801,6.411,0,1.298,2.052,2.818,0,0,2.994,0,0,0,4.902,0,0.174,2.153
duarte,Duarte,Los Angeles,2020-21,21473,26.757,23.312,6.26,0,1.297,1.999,3.217,0,0,2.317,0,0,0,5.04,0,0.394,2.789
duarte,Duarte,Los Angeles,2021-22,21258,32.182,23.597,6.914,0,1.181,1.944,3.508,0,0,2.583,0,0,0,5.549,0,0.52,1.398
duarte,Duarte,Los Angeles,2022-23,22796,30.739,26.895,6.997,0,1.225,2.203,2.375,0,0.09,3.03,0,0,0,6.008,0,0.561,4.407
duarte,Duarte,Los Angeles,2023-24,23656,31.411,27.678,7.261,0,1.336,1.769,2.472,0,0.148,3.325,0,0,0,5.957,0,0.559,4.851
dublin,Dublin,Alameda,2016-17,59686,120.859,116.518,17.333,13.097,1.468,3.634,11.813,3.89,0,9.51,0.922,2.045,0,14.248,0,0,38.557
dublin,Dublin,Alameda,2017-18,63241,134.226,105.055,19.593,13.104,1.656,4.051,11.939,4.366,0,10.932,1.04,2.03,0,9.102,0,1.345,25.896
dublin,Dublin,Alameda,2018-19,64577,143.273,109.464,22.188,14.072,1.517,3.973,11.385,4.895,0,10.99,0.904,1.935,0,9.248,0,1.368,26.989
dublin,Dublin,Alameda,2019-20,65716,126.444,108.478,22.346,14.76,1.722,3.905,10.24,5.579,0,9.95,0.783,1.527,0,14.801,0,1.368,21.496
dublin,Dublin,Alameda,2020-21,73209,124.044,106.114,23.819,15.476,3.532,4.616,15.174,7.015,0,9.142,0.763,1.222,0,10.086,0,1.368,13.901
dublin,Dublin,Alameda,2021-22,72932,139.924,126.217,25.685,16.389,1.854,4.915,11.921,8.036,0,11.633,0.905,1.686,0,11.859,0,0.925,30.41
dublin,Dublin,Alameda,2022-23,71750,152.471,136.415,28.059,20.416,1.776,5.932,10.192,8.641,0.014,15.624,0.994,1.66,0,11.876,0,1.333,29.898
dublin,Dublin,Alameda,2023-24,72917,167.609,134.276,30.294,17.449,1.874,6.373,15.668,9.452,0.002,16.982,1.011,1.575,0,12.809,0,1.332,19.453
dunsmuir,Dunsmuir,Siskiyou,2016-17,1612,2.076,2.07,0.446,0.256,0.025,0.316,0.271,0,0.002,0.021,0,0,0,0.335,0,0.01,0.39
dunsmuir,Dunsmuir,Siskiyou,2017-18,1680,1.866,1.766,0.448,0.256,0.026,0.275,0.265,0,0,0.02,0,0,0,0.37,0,0.009,0.097
dunsmuir,Dunsmuir,Siskiyou,2018-19,1581,1.676,1.573,0.445,0.314,0.017,0.252,0.225,0,0,0.009,0,0,0,0.22,0,0.01,0.082
dunsmuir,Dunsmuir,Siskiyou,2019-20,1634,1.676,1.54,0.482,0.211,0.027,0.234,0.32,0,0,0.009,0,0,0,0.196,0,0.01,0.051
dunsmuir,Dunsmuir,Siskiyou,2020-21,1705,2.295,1.851,0.533,0.34,0,0.28,0.332,0,0,0.009,0,0,0,0.169,0,0.009,0.177
dunsmuir,Dunsmuir,Siskiyou,2021-22,1681,2.842,2.362,0.538,0.407,0.028,0.202,0.313,0,0,0.01,0,0,0,0.231,0.275,0.009,0.347
dunsmuir,Dunsmuir,Siskiyou,2022-23,1663,3.025,3.068,0.545,0.416,0.029,0.409,0.33,0,0,0.009,0,0,0,0.294,0.427,0.01,0.599
dunsmuir,Dunsmuir,Siskiyou,2023-24,1651,3.433,2.98,0.578,0.245,0.11,0.338,0.712,0,0,0.006,0.001,0,0,0.271,0.346,0.009,0.364
east-palo-alto,East Palo Alto,San Mateo,2016-17,30340,36.721,24.692,9.883,0,0.162,2.334,3.221,0,0,0.651,0,0,0,4.789,0,0.055,3.598
east-palo-alto,East Palo Alto,San Mateo,2017-18,30917,38.275,30.68,9.966,0,0.143,3.364,4.291,0,0,1.261,0,0,0,3.707,0,0.033,7.916
east-palo-alto,East Palo Alto,San Mateo,2018-19,30499,44.105,32.697,11.241,0,0.162,1.334,5.007,0,0,1.221,0,0,0,5.916,0,0.016,7.8
east-palo-alto,East Palo Alto,San Mateo,2019-20,30794,39.598,28.221,10.76,0,0.321,1.397,5.709,0,0,0.984,0,0.035,0,6.511,0,0,2.505
east-palo-alto,East Palo Alto,San Mateo,2020-21,29423,39.605,37.612,11.644,0,0.106,1.516,6.814,0,0,0.766,0,-0.026,0,7.547,0,0,9.245
east-palo-alto,East Palo Alto,San Mateo,2021-22,28963,39.712,35.637,11.865,0,0.154,1.529,6.303,0,0,1.165,0,0,0,7.547,0,0.007,7.067
east-palo-alto,East Palo Alto,San Mateo,2022-23,28586,62.964,42.204,12.72,0,0.117,1.223,7.185,0,0,1.599,0,0,0,9.218,0,0.527,9.614
east-palo-alto,East Palo Alto,San Mateo,2023-24,29078,60.541,43.821,12.811,0,0.184,1.837,8.65,0,0,1.378,0,0,0,8.794,0,0.543,9.624
eastvale,Eastvale,Riverside,2016-17,64613,26.723,22.58,8.024,3.351,0.26,0.889,3.46,0,0,0,0,0,0,2.472,0,0,4.123
eastvale,Eastvale,Riverside,2017-18,64855,35.843,25.201,8.454,4.442,0.271,0.875,3.867,0,0,0,0,0,0,3.001,0,0,4.291
eastvale,Eastvale,Riverside,2018-19,66078,38.064,42.286,8.576,4.255,0.23,1.432,5.021,0,0,0,0,0,0,7.312,0,0.683,14.777
eastvale,Eastvale,Riverside,2019-20,66413,46.091,36.084,10.101,6.057,0.28,3.073,6.545,0,0.031,0,0,0,0,3.871,0,0.469,5.659
eastvale,Eastvale,Riverside,2020-21,70444,61.62,36.735,9.739,5.579,0.168,1.748,4.773,0,0.759,0,0,0,0,6.595,0,0.476,6.898
eastvale,Eastvale,Riverside,2021-22,69929,84.336,46.144,11.359,5.729,0.233,1.944,6.405,0,0,0,0,0,0,9.542,0,4.805,6.127
eastvale,Eastvale,Riverside,2022-23,69514,89.186,41.338,12.729,6.355,0.276,2.073,7.44,0,0,0,0,0,0,5.381,0,0.507,6.577
eastvale,Eastvale,Riverside,2023-24,68884,114.227,72.417,13.504,6.879,0.275,1.839,7.17,0,0,0,0,0,0,7.752,0,0.523,34.476
el-cajon,El Cajon,San Diego,2016-17,102803,79.856,78.509,30.334,11.615,3.074,6.47,3.564,0,0,4.963,0,0,0,9.271,0,0.232,8.987
el-cajon,El Cajon,San Diego,2017-18,105557,84.891,86.074,32.17,14.97,0.941,7.346,3.828,0,0,5.276,0,0,0,7.732,0,0.258,13.555
el-cajon,El Cajon,San Diego,2018-19,105559,91.977,92.526,35.109,15.774,1.144,8.019,4.33,0,0,5.522,0,0,0,8.847,0,0.23,13.552
