# Citizen Ledger — cities — COMPLETE LAYER EXPORT
# Source dataset: City annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Measured as: REPORTED ACTUAL REVENUES AND EXPENDITURES FROM STANDARDIZED ANNUAL FINANCIAL REPORTS FILED WITH THE STATE CONTROLLER · MILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-26
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A $0 in a function column can be a real filed zero — a city that contracts the service to its county files $0. The site's services checklist distinguishes the two; see about.html.
# Function columns: exp_police_musd = Police; exp_fire_musd = Fire; exp_safetyOther_musd = Other public safety; exp_streets_musd = Streets & transportation; exp_housing_musd = Community development & housing; exp_sanitation_musd = Sewer & solid waste; exp_health_musd = Health & welfare; exp_parks_musd = Parks & recreation; exp_library_musd = Libraries; exp_cultureOther_musd = Other culture & leisure; exp_utilities_musd = Public utilities (governmental); exp_admin_musd = General government; exp_other_musd = Other expenditures; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_fire_musd,exp_safetyOther_musd,exp_streets_musd,exp_housing_musd,exp_sanitation_musd,exp_health_musd,exp_parks_musd,exp_library_musd,exp_cultureOther_musd,exp_utilities_musd,exp_admin_musd,exp_other_musd,exp_debt_musd,exp_capital_musd
albany,Albany,Alameda,2017-18,19053,31.322,36.635,6.755,2.756,2.472,3.06,1.116,0,0,2.52,0.854,0,0,4.464,0,1.696,10.94
albany,Albany,Alameda,2018-19,19393,31.998,28.741,6.19,2.806,2.416,2.966,1.25,0,0,2.384,0.788,0,0,6.659,0,1.445,1.836
albany,Albany,Alameda,2019-20,18937,31.262,28.615,6.029,2.774,2.249,2.664,1.518,0,0,2.062,0.688,0,0,7.007,0,1.629,1.995
albany,Albany,Alameda,2020-21,20542,34.998,32.702,6.886,3.331,2.478,3.043,1.592,0,0,1.352,0.422,0,0,8.51,0,1.631,3.457
albany,Albany,Alameda,2021-22,21648,38.031,34.272,7.475,3.321,2.684,3.038,2.07,0,0,2.456,0.744,0,0,9.039,0,1.478,1.968
albany,Albany,Alameda,2022-23,21401,43.171,41.984,7.482,3.337,2.711,3.473,1.806,0,0,4.211,0.784,0,0,9.156,0,1.465,7.559
albany,Albany,Alameda,2023-24,20325,43.7,44.54,7.916,3.407,3.336,3.939,2.285,0,0,3.881,0.791,0,0,10.824,0,1.419,6.742
alhambra,Alhambra,Los Angeles,2016-17,86922,75.891,77.784,23.801,16.951,1.141,8.26,4.922,0,0.001,5.312,2.566,0,0,5.011,0,3.719,6.101
alhambra,Alhambra,Los Angeles,2017-18,86665,87.689,85.175,24.883,17.703,1.148,9.69,5.649,0,0,5.569,2.674,0,0,4.632,0,3.708,9.518
alhambra,Alhambra,Los Angeles,2018-19,86931,92.356,83.322,25.83,17.888,1.177,10.493,5.474,0,0.023,5.895,2.745,0,0,4.756,0,3.722,5.319
alhambra,Alhambra,Los Angeles,2019-20,86792,85.296,88.504,27.973,18.609,1.266,7.211,5.551,0,0,5.677,2.831,0,0,5.55,0,3.292,10.545
alhambra,Alhambra,Los Angeles,2020-21,82182,101.297,86.908,27.176,19.469,1.309,8.239,7.879,0,0.365,5.587,2.618,0,0,4.865,0,3.666,5.736
alhambra,Alhambra,Los Angeles,2021-22,81834,111.975,99.473,28.41,19.683,1.497,10.803,5.696,0,1.333,6.303,2.53,0,0,8.035,0,3.742,11.44
alhambra,Alhambra,Los Angeles,2022-23,81303,119.187,103.81,30.324,21.269,1.517,11.498,5.417,0,1.179,6.733,2.654,0,0,7.687,0,3.574,11.958
alhambra,Alhambra,Los Angeles,2023-24,81811,131.304,122.737,33.371,22.477,2.074,12.502,6.89,0,0.724,7.075,2.85,0,0,9.772,0,2.884,22.118
aliso-viejo,Aliso Viejo,Orange,2016-17,50312,24.219,24.683,7.422,0,0.481,1.628,2.48,0,0,3.099,0,0,0,3.89,0,0,5.683
aliso-viejo,Aliso Viejo,Orange,2017-18,51950,25.81,22.816,7.96,0,0.578,1.484,2.642,0,0.004,1.12,0,2.569,0,3.916,0,0,2.545
aliso-viejo,Aliso Viejo,Orange,2018-19,51372,27.777,25.882,8.132,0,0.799,1.146,2.529,0,0.013,1.323,0,2.52,0,4.369,0,0,5.051
aliso-viejo,Aliso Viejo,Orange,2019-20,50044,25.214,34.368,8.454,0,0.876,3.422,2.906,0,0.01,1.374,0,2.021,0,4.803,0,0.495,10.007
aliso-viejo,Aliso Viejo,Orange,2020-21,51233,24.305,36.415,8.404,0,1.123,3.798,3.012,0,0.024,1.522,0,2.142,0,5.357,0,0.657,10.375
aliso-viejo,Aliso Viejo,Orange,2021-22,50782,30.981,27.301,8.66,0,1.117,2.831,2.763,0,0.015,2.312,0,3.378,0,5.536,0,0.666,0.023
aliso-viejo,Aliso Viejo,Orange,2022-23,50766,34.96,31.384,9.723,0,0.494,4.943,3.278,0,0.008,2.449,0,4.022,0,5.715,0,0.752,0
aliso-viejo,Aliso Viejo,Orange,2023-24,50068,37.126,31.621,9.621,0,0.556,3.24,3.851,0,0.007,2.502,0,3.678,0,7.307,0,0.859,0
