# Citizen Ledger — counties — COMPLETE LAYER EXPORT
# Source dataset: County annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Data generated: 2026-07-24
# Exported: 2026-07-27
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A county serves the whole county, including residents of every city inside it. County and city figures must not be added.
# Function columns: exp_police_musd = Police protection (sheriff); exp_detention_musd = Detention & correction; exp_judicial_musd = Judicial; exp_fire_musd = Fire protection; exp_protectionOther_musd = Other public protection; exp_streets_musd = Public ways & facilities; exp_health_musd = Health; exp_sanitation_musd = Sanitation; exp_assistance_musd = Public assistance; exp_education_musd = Education; exp_recreation_musd = Recreation & cultural; exp_admin_musd = General government; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_detention_musd,exp_judicial_musd,exp_fire_musd,exp_protectionOther_musd,exp_streets_musd,exp_health_musd,exp_sanitation_musd,exp_assistance_musd,exp_education_musd,exp_recreation_musd,exp_admin_musd,exp_debt_musd,exp_capital_musd
kern,Kern,,2018-19,916464,1585.107,1548.33,119.212,165.038,106.292,146.306,38.411,24.178,263.327,0,490.271,6.965,8.835,93.882,65.098,20.516
kern,Kern,,2019-20,917553,1732.962,1713.001,130.005,177.05,84.516,142.439,40.641,37.281,337.134,0,556.853,6.964,8.023,90.793,80.848,20.454
kern,Kern,,2020-21,907324,1992.457,1747.003,124.023,170.527,79.947,139.759,38.081,76.868,318.344,0,582.708,6.087,8.721,94.136,86.323,21.478
kern,Kern,,2021-22,909813,1952.914,1843.822,133.355,218.856,75.356,162.873,36.453,60.299,327.057,0,583.36,8.242,0.001,119.415,68.381,50.175
kern,Kern,,2022-23,907476,2251.339,2103.94,147.769,193.035,124.141,179.96,45.379,77.641,338.672,0,666.145,8.241,16.274,113.117,81.723,111.843
kern,Kern,,2023-24,910300,2530.056,2313.234,179.863,207.165,117.566,194.561,51.062,79.529,435.921,0,711.865,10.512,16.707,145.891,75.451,87.14
kings,Kings,,2016-17,149537,230.909,246.748,15.49,31.579,16.484,11.66,5.75,7.33,30.813,0,86.211,2.183,2.429,22.842,3.786,10.191
kings,Kings,,2017-18,151662,245.142,256.432,14.224,32.796,16.622,12.92,5.84,8.44,32.401,0,88.035,2.258,2.319,18.941,4.07,17.566
kings,Kings,,2018-19,153710,263.753,257.908,16.063,34.991,18.014,14.215,6.096,9.164,36.635,0,89.796,2.244,2.326,20.365,4.807,3.192
kings,Kings,,2019-20,153608,270.682,278.251,17.402,36.022,18.273,14.353,6.415,11.478,38.51,0,103.241,2.264,2.529,20.447,4.569,2.748
kings,Kings,,2020-21,151059,308.31,301.911,18.168,37.191,18.222,15.98,6.782,9.422,41.624,0,111.329,2.049,2.604,27.591,4.364,6.583
kings,Kings,,2021-22,152023,306.291,334.668,18.694,41.571,19.278,15.967,6.221,9.188,44.056,0,110.149,2.383,7.867,34.274,4.399,20.62
kings,Kings,,2022-23,151018,379.237,362.652,21.244,44.008,19.838,16.648,7.156,12.652,55.908,0,131.059,2.902,2.679,33.42,4.901,10.235
kings,Kings,,2023-24,152627,364.517,373.721,22.514,45.801,18.913,17.733,7.469,7.96,54.999,0,133.762,2.597,2.841,39.814,7.738,11.579
lake,Lake,,2016-17,64945,128.002,126.088,11.462,14.616,7.76,0,4.223,4.973,17.11,0,41.631,1.243,2.094,13.417,0,7.56
lake,Lake,,2017-18,65081,131.577,125.653,11.26,14,7.593,0,4.706,4.723,17.661,0,42.072,1.233,1.869,12.45,0,8.086
lake,Lake,,2018-19,65071,174.143,159.966,11.896,13.868,7.574,0,8.595,18.288,20.074,14.442,46.728,1.299,2.455,11.658,0.866,2.223
lake,Lake,,2019-20,64040,178.628,154.806,12.223,14.933,7.507,0,7.324,17.251,22.273,6.933,48.334,1.296,2.326,11.291,0.797,2.318
lake,Lake,,2020-21,67651,198.203,170.563,13.19,14.747,7.456,0,11.053,21.768,26.724,6.829,48.853,1.372,1.811,13.729,2.09,0.942
lake,Lake,,2021-22,67407,204.04,178.099,12.289,15.216,8.047,0,14.75,17.221,29.491,7.189,50.393,1.69,1.819,18.389,1.471,0.133
lake,Lake,,2022-23,66800,215.811,207.69,13.942,17.305,9.174,0,11.9,21.202,40.727,9.079,57.627,1.938,2.544,18.072,1.958,2.224
lake,Lake,,2023-24,67001,237.676,229.843,14.209,18.918,9.995,0,12.665,17.685,40.601,9.037,61.03,2.042,2.641,24.403,2.228,14.389
lassen,Lassen,,2016-17,30918,63.22,63.161,5.552,7.346,4.819,0,2.949,3.751,11.043,0,14.419,0.086,0.11,7.804,0.3,4.981
lassen,Lassen,,2017-18,30911,67.301,63.787,5.284,8.171,5.212,0,3.321,2.56,11.614,0,15.845,0.09,0.113,7.521,0.3,3.755
lassen,Lassen,,2018-19,30150,71.291,64.837,5.802,8.188,5.398,0,3.418,3.825,11.271,0,14.982,0.072,0.114,7.5,0.3,3.967
lassen,Lassen,,2019-20,28833,79.701,74.114,6.039,8.226,5.298,0,3.306,3.595,11.085,0,16.919,0.073,0.122,7.91,0.38,11.162
lassen,Lassen,,2020-21,31132,81.634,72.873,6.209,7.892,5.245,0,3.624,4.694,11.064,0,17.036,0.08,0.122,8.434,0.3,8.172
lassen,Lassen,,2021-22,30274,87.989,81.021,6.414,8.301,5.851,0,3.832,3.87,11.437,0,17.647,0.065,0.141,10.865,0.38,12.216
lassen,Lassen,,2022-23,28275,83.896,78.686,7.218,8.114,6.332,0,4.8,6.285,12.678,0,19.137,0.094,0.214,9.786,0.416,3.611
lassen,Lassen,,2023-24,28197,85.263,81.978,5.472,8.937,6.321,0,4.358,5.977,11.528,0,21.48,0.106,0.216,9.147,0.416,8.02
los-angeles,Los Angeles,,2016-17,10241278,18572.925,17460.277,2106.697,1690.728,1513.183,1.163,372.583,319.194,3528.556,28.289,6014.965,128.569,344.056,991.934,199.707,220.651
los-angeles,Los Angeles,,2017-18,10283729,19568.944,18540.255,1953.643,1808.685,1583.852,0.183,387.443,304.051,4058.519,28.776,6343.134,147.585,371.298,1095.44,187.708,269.938
los-angeles,Los Angeles,,2018-19,10253716,23510.573,22325.657,2111.489,1907.839,1653.035,1227.005,620.148,412.648,5195.294,95.346,6684.984,150.781,440.395,1325.818,263.822,237.052
los-angeles,Los Angeles,,2019-20,10172951,25198.53,24066.787,2175.135,2003.37,1704.071,1251.024,619.009,396.357,5793.136,92.19,7103.863,152.382,482.118,1571.134,521.488,201.51
los-angeles,Los Angeles,,2020-21,9931338,27775.712,26019.219,2182.379,1969.394,1709.827,1329.139,769.014,412.637,6010.93,97.336,8056.091,152.944,439.852,1892.099,538.088,459.49
los-angeles,Los Angeles,,2021-22,9861224,27521.058,26233.685,2238.074,2079.286,1746.393,1443.869,992.77,432.429,6430.341,113.144,7688.107,155.98,468.357,1283.605,919.706,241.622
los-angeles,Los Angeles,,2022-23,9761210,30110.728,28320.858,2412.307,2186.993,1820.441,1496.457,996.594,498.034,6519.161,113.403,8703.232,158.569,503.294,1922.908,493.96,495.507
los-angeles,Los Angeles,,2023-24,9824091,32912.475,30360.772,2515.142,2220.211,1906.334,1535.658,1208.377,551.752,7596.2,121.107,9142.278,171.18,534.209,2042.255,538.573,277.496
madera,Madera,,2016-17,156492,224.64,228.616,16.742,29.485,12.654,6.318,7.462,14.022,30.583,0,67.206,1.44,0.099,29.365,3.194,10.047
madera,Madera,,2017-18,158894,248.25,242.912,18.515,30.331,13.647,7.098,8.404,11.54,31.658,0,69.523,1.51,0.847,31.661,3.256,14.922
madera,Madera,,2018-19,159536,274.153,269.572,21.905,34.119,14.067,8.907,10.161,14.087,38.895,0,73.134,1.991,0.934,35.661,5.24,10.471
madera,Madera,,2019-20,158147,295.322,365.864,26.794,34.395,15.038,9.648,11.778,14.57,41.716,0,77.1,1.922,0.869,37.033,7.719,87.282
madera,Madera,,2020-21,156385,356.31,317.772,24.352,33.964,15.11,9.127,12.574,11.512,49.517,0,76.886,1.919,1.252,40.092,9.478,31.989
madera,Madera,,2021-22,157396,363.085,345.339,26.886,36.969,16.929,10.197,13.83,15.343,46.082,0,81.336,2.016,1.337,41.544,11.395,41.475
madera,Madera,,2022-23,158148,395.836,393.404,30.371,41.778,19.021,9.436,17.175,20.2,55.724,0,92.853,2.264,0.003,47.303,11.622,45.655
madera,Madera,,2023-24,159328,435.802,397.723,34.626,47.658,18.639,12.541,17.865,21.318,60.696,0,98.192,2.242,0.301,47.552,12.263,23.831
marin,Marin,,2016-17,263604,539.908,482.433,38.314,43.299,30.066,19.707,36.256,14.298,93.856,2.203,80.47,15.496,19.043,71.889,17.535,0
marin,Marin,,2017-18,263886,578.827,547.778,39.386,48.516,27.526,23.258,38.534,19.324,104.202,2.103,82.156,15.061,25.891,78.836,18.51,24.476
marin,Marin,,2018-19,262879,651.827,581.492,40.049,49.54,26.32,24.781,50.576,23.867,107.67,1.25,81.524,15.297,29.363,83.161,20.157,27.938
marin,Marin,,2019-20,260831,656.949,615.727,38.712,51.439,27.933,27.111,57.687,22.849,115.346,1.614,90.457,15.953,28.313,81.412,20.131,36.77
marin,Marin,,2020-21,259512,775.762,688.843,39.355,52.755,28.023,33.893,77.781,23.963,136.354,1.451,107.863,16.599,26.197,94.952,20.936,28.721
marin,Marin,,2021-22,257135,821.476,666.912,41.155,52.099,28.384,35.251,60.629,22.404,136.945,1.369,111.199,17.634,27.666,83.89,24.095,24.193
marin,Marin,,2022-23,252959,789.394,700.754,40.607,54.578,28.633,35.64,60.467,18.025,149.905,1.636,115.964,17.614,31.957,96.294,26.835,22.599
marin,Marin,,2023-24,252844,860.909,785,44.372,57.072,30.728,44.255,65.732,41.634,157.005,2.299,119.066,20.133,42.566,103.747,25.716,30.673
mariposa,Mariposa,,2016-17,18148,62.256,61.849,6.117,5.355,3.053,1.852,5.348,3.148,8.368,0,12.579,0.977,0.47,10.306,0.209,4.066
mariposa,Mariposa,,2017-18,18129,68.381,69.224,6.798,5.511,3.045,2.61,5.52,4.345,10.175,0,13.925,0.996,0.377,15.713,0.209,0
mariposa,Mariposa,,2018-19,18068,73.1,77.509,7.113,6.082,3.224,2.364,7.507,5.523,11.909,0,14.697,1.064,0.405,17.622,0,0
mariposa,Mariposa,,2019-20,18067,78.427,80.829,7.11,5.598,3.579,2.717,6.674,7.526,13.865,0,17.481,1.088,0.443,14.677,0.072,0
mariposa,Mariposa,,2020-21,17066,83.427,80.078,7.288,5.726,3.366,2.737,5.346,5.866,14.362,0,17.715,0.931,0.405,16.264,0.072,0
mariposa,Mariposa,,2021-22,17045,87.756,85.401,7.471,6.238,3.185,1.664,5.355,7.222,12.467,0,17.564,0.84,0.361,12.035,0.294,10.705
mariposa,Mariposa,,2022-23,16935,108.344,113.587,8.277,6.722,3.319,3.105,6.027,10.908,16.738,0,19.827,0.967,0.425,29.429,0.303,7.541
mariposa,Mariposa,,2023-24,16966,105.333,105.684,8.485,6.982,3.482,3.224,6.604,12.02,16.539,0,21.254,1.064,0.428,11.561,0.849,13.191
mendocino,Mendocino,,2016-17,89134,215.207,206.413,15.392,16.874,13.696,0,10.284,14.978,36.061,0.754,65.624,3.409,0.462,15.328,9.846,3.707
mendocino,Mendocino,,2017-18,89299,226.038,230.098,16.5,18.309,15.233,0,12.634,15.349,47.485,0.925,68.936,3.523,0.405,15.537,9.963,5.297
mendocino,Mendocino,,2018-19,89009,258.353,239.092,16.862,18.496,15.158,0,13.965,20.239,51.339,0.754,68.425,3.965,0.468,16.529,10.043,2.848
mendocino,Mendocino,,2019-20,87946,289.135,252.062,17.929,20.005,15.231,0,15.376,20.826,54.285,0.749,71.621,3.753,0.47,16.98,9.971,4.866
mendocino,Mendocino,,2020-21,90669,300.924,293.21,19.159,20.663,16.539,0.741,18.607,21.857,67.249,0.83,74.985,3.549,0.541,18.642,9.751,20.097
mendocino,Mendocino,,2021-22,89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendocino,Mendocino,,2022-23,89164,327.924,304.609,22.293,23.145,18.027,1.556,22.117,16.296,57.632,1.296,93.45,4.616,0.77,27.676,9.92,5.815
mendocino,Mendocino,,2023-24,89476,361.688,362.282,22.386,25.079,18.628,5.319,17.837,19.134,102.204,1.479,97.85,4.751,0.638,25.228,10.993,10.757
merced,Merced,,2016-17,274665,452.216,440.015,26.366,47.514,28.341,16.625,13.108,16.775,66.978,0,164.13,3.078,2.057,29.521,12.112,13.41
merced,Merced,,2017-18,279977,477.874,481.746,28.178,50.724,30.708,19.229,13.953,9.683,71.184,0,169.923,3.243,2.234,29.691,8.319,44.676
merced,Merced,,2018-19,282928,518.236,503.113,29.349,52.482,30.362,19.133,13.686,9.705,74.337,0,175.023,3.506,2.725,29.957,5.895,56.953
merced,Merced,,2019-20,283521,551.405,539.413,31.218,53.354,30.454,20.729,14.258,14.011,86.02,0,187.006,3.742,2.744,31.595,7.76,56.523
merced,Merced,,2020-21,281874,571.746,580.012,31.198,54.373,30.162,21.223,13.994,13.929,94.352,0,190.759,3.591,2.426,34.973,37.288,51.745
merced,Merced,,2021-22,284338,577.165,559.71,32.06,58.2,31.519,21.712,13.998,12.66,101.299,0,192.863,3.883,2.429,33.832,6.318,48.936
merced,Merced,,2022-23,285337,651.972,657.863,34.256,62.71,32.836,30.232,14.753,15.728,115.894,0,217.25,4.363,2.736,38.508,8.025,80.571
merced,Merced,,2023-24,287303,726.252,731.825,36.565,70.182,34.239,31.835,16.914,15.461,135.445,0,231.07,4.644,2.796,35.43,7.669,109.575
modoc,Modoc,,2016-17,9580,29.417,30.446,2.292,1.432,1.279,0,1.555,7.519,5.663,0,5.945,0.387,0.001,4.372,0,0
modoc,Modoc,,2017-18,9612,30.038,28.605,2.436,1.51,1.195,0,1.472,4.628,5.995,0,5.915,0.34,0.005,3.904,0.109,1.097
modoc,Modoc,,2018-19,9602,33.587,32.441,2.576,1.538,1.325,0,1.624,6.319,6.515,0,6.372,0.384,0.002,5.094,0.109,0.583
modoc,Modoc,,2019-20,9570,37.135,34.942,2.365,1.634,1.156,0,1.679,9.037,6.593,0,7.093,0.357,0.001,4.343,0.172,0.512
modoc,Modoc,,2020-21,8606,36.201,32.904,2.325,1.916,1.112,0,1.74,6.657,7.073,0,6.737,0.359,0.004,4.103,0.125,0.753
modoc,Modoc,,2021-22,8690,38.143,34.22,2.629,2.066,1.067,0,1.585,3.651,8.149,0,6.794,0.392,0.002,4.217,0.117,3.55
modoc,Modoc,,2022-23,8527,44.2,36.539,2.547,2.129,1.081,0,2.071,4.621,8.672,0,7.814,0.373,0.451,4.703,0.022,2.056
modoc,Modoc,,2023-24,8484,43.542,41.22,2.798,2.135,1.127,0,2.269,4.128,10.242,0,8.987,0.414,0.534,4.981,0.017,3.588
mono,Mono,,2016-17,13713,51.559,46.867,6.378,3.861,3.532,0,3.702,4.117,8.635,0,4.792,0.042,0,10.634,0.887,0.286
mono,Mono,,2017-18,13822,56.783,53.569,7.138,4.247,4.006,0,4.117,3.825,9.246,0,5.016,0.026,0,12.643,0.945,2.359
mono,Mono,,2018-19,13616,57.175,59.772,7.472,4.731,4.189,0,3.611,5.289,10.645,0,5.323,0.03,0,12.172,0.852,5.459
mono,Mono,,2019-20,13464,61.267,74.935,7.658,4.949,4.177,0,4.138,7.307,11.023,0,6.146,0.038,0,12.005,1.256,16.238
mono,Mono,,2020-21,13299,68.689,59.387,7.682,5.051,3.758,0,4.925,5.998,12.56,0,5.75,0.045,0.17,11.293,1.426,0.729
mono,Mono,,2021-22,13379,72.559,63.059,7.484,5.71,3.965,0,3.868,5.998,13.876,0,6.813,0.048,0.2,12.369,1.488,1.239
mono,Mono,,2022-23,13156,79.74,70.678,8.062,6.201,4.296,0,4.712,7.198,15.19,0,6.626,0.049,0.165,13.736,3.125,1.318
mono,Mono,,2023-24,12861,89.582,78.518,8.646,7.213,4.043,0,4.683,7.03,16.234,0,6.834,0.048,0.304,15.999,1.722,5.762
monterey,Monterey,,2016-17,442365,745.3,744.393,44.285,92.566,55.005,0,43.016,24.373,173.378,0.213,188.202,9.402,11.635,45.001,1.919,55.397
monterey,Monterey,,2017-18,443281,839.704,815.004,44.837,100.966,55.77,0,45.219,21.304,183.419,0.181,193.838,8.675,18.054,42.453,1.919,98.369
monterey,Monterey,,2018-19,445414,905.118,870.949,47.289,102.951,56.139,0,55.565,16.327,203.734,1.704,195.421,9.477,26.109,46.772,19.629,89.834
monterey,Monterey,,2019-20,441143,934.129,881.543,46.738,115.19,61.423,0,62.727,20.318,213.365,1.898,204.337,9.785,23.342,43.518,16.513,62.388
monterey,Monterey,,2020-21,435721,1012.05,931.003,54.528,119.942,69.886,0,82.78,26.005,228.404,1.785,222.126,9.809,5.99,38.74,16.347,54.66
monterey,Monterey,,2021-22,433716,1045.511,978.715,54.595,126.984,71.587,0,70.623,31.271,238.302,2.073,252.739,10.45,6.97,51.864,24.059,37.198
monterey,Monterey,,2022-23,430368,1111.313,1117.623,60.722,139.857,72.545,0,64.91,32.85,245.29,6.426,271.174,12.422,7.728,52.033,29.224,122.442
monterey,Monterey,,2023-24,437614,1169.54,1156.077,63.238,145.405,72.434,0,68.383,60.493,287.268,4.142,285.466,11.068,8.09,59.452,27.925,62.713
napa,Napa,,2016-17,142408,322.801,315.045,30.702,36.649,20.473,13.435,23.692,24.488,54.778,0.298,44.001,11.213,1.507,32.389,4.909,16.511
napa,Napa,,2017-18,141294,363.198,352.432,33.382,38.242,20.903,18.34,23.479,31.694,63.275,0.253,45.128,8.573,2.368,32.115,4.887,29.794
napa,Napa,,2018-19,140779,389.379,337.306,35.332,40.722,22.589,16.223,23.053,29.301,58.235,0.189,45.665,8.094,2.119,33.149,4.976,17.662
napa,Napa,,2019-20,139088,404.341,367.289,36.201,42.951,23.681,15.917,26.333,42.183,57.643,0.238,54.551,8.998,2.002,42.579,4.969,9.044
napa,Napa,,2020-21,137518,445.118,362.819,37.813,41.663,23.967,16.415,35.808,35.036,61.478,0.405,58.465,8.902,2.124,28.227,4.872,7.644
napa,Napa,,2021-22,136179,450.055,407.835,38.671,44.14,24.694,26.403,27.594,56.422,62.105,0.351,64.417,9.521,1.627,35.435,10.683,5.77
napa,Napa,,2022-23,134637,473.871,436.99,42.36,48.436,27.353,21.408,30.652,46.787,70.232,0.451,66.217,10.759,1.656,40.109,2.518,28.05
napa,Napa,,2023-24,135029,516.409,545.783,46.068,51.849,29.001,29.905,31.862,66.592,82.648,0.409,70.065,11.182,2.424,48.251,2.527,72.998
nevada,Nevada,,2016-17,98828,153.518,160.631,17.641,20.427,12.207,0,8.548,8.232,31.221,0,30.953,2.931,0,9.664,2.063,16.745
nevada,Nevada,,2017-18,99155,169.533,158.151,15.579,20.671,12.419,0,13.394,9.436,32.04,0,29.483,3.736,0.045,11.157,0.421,9.77
nevada,Nevada,,2018-19,98904,174.124,166.818,17.475,23.321,13.22,0,11.069,10.272,33.715,0,31.602,4.251,0.019,9.829,3.65,8.394
nevada,Nevada,,2019-20,98114,187.992,195.035,17.862,23.443,13.086,0,14.56,11.044,38.578,0,34.539,4.509,0,12.619,3.396,21.398
nevada,Nevada,,2020-21,101919,208.861,195.738,16.881,23.699,13.215,0,12.868,11.517,41.488,0,39.816,5.032,0,18.393,2.941,9.888
nevada,Nevada,,2021-22,101242,222.825,213.72,20.033,23.926,14.211,0,16.259,12.238,47.134,0,41.655,6.073,0,20.179,3.346,8.667
nevada,Nevada,,2022-23,100720,235.786,230.495,20.928,25.492,15.042,0,16.641,13.983,54.611,0,44,6.418,0.824,19.477,3.609,9.471
nevada,Nevada,,2023-24,100177,261.398,248.213,22.8,26.914,15.8,0,19.395,13.195,62.181,0,45.659,8.237,0.974,20.981,3.741,8.335
orange,Orange,,2016-17,3194024,3673.586,3605.697,422.859,410.262,400.971,0,104.561,66.391,580.604,0,1054.205,42.578,25.663,272.353,82.565,142.686
orange,Orange,,2017-18,3221103,3817.037,3885.056,455.391,422.454,407.362,0,113.457,100.033,650.565,0,1076.081,46.86,27.833,306.629,91.144,187.247
orange,Orange,,2018-19,3222498,4091.903,4229.752,472.438,436.776,414.155,0,217.49,115.987,679.745,0,1127.126,47.841,114.127,285.901,108.464,209.7
orange,Orange,,2019-20,3194332,4386.915,4431.683,474.957,432.1,425.239,0,215.545,103.859,745.721,0,1192.045,47.717,119.379,363.946,124.774,186.401
orange,Orange,,2020-21,3169542,5063.592,5053.644,532.719,403.472,437.787,0,226.162,90.401,1130.565,0,1383.078,53.382,125.364,253.207,97.02,320.487
orange,Orange,,2021-22,3162245,5173.658,4868.94,561.857,402.715,456.444,0,225.788,100.863,875.093,0,1286.463,57.457,130.18,257.259,110.511,404.308
orange,Orange,,2022-23,3137164,5627.642,5354.355,587.866,407.603,464.535,0,268.666,92.557,879.094,0,1362.702,58.206,148.586,425.158,182.977,476.406
orange,Orange,,2023-24,3150835,5646.599,5564.327,630.947,446.502,496.497,0,280.8,94.643,1032.392,0,1524.175,59.737,126.825,306.86,245.047,319.902
placer,Placer,,2016-17,382837,564.532,581.79,70.279,77.797,39.625,3.742,27.884,23.76,67.806,0,107.654,7.211,5.221,80.865,5.156,64.789
placer,Placer,,2017-18,389532,606.483,606.925,76.006,84.706,41.672,3.692,32.243,26.452,71.891,0,110.266,8.112,6.439,97.183,5.397,42.865
placer,Placer,,2018-19,396691,638.253,604.107,81.543,78.483,43.781,11.787,33.042,29.413,125.668,0,70.756,8.612,6.952,61.135,8.953,43.982
placer,Placer,,2019-20,403711,700.437,714.761,78.727,96.424,44.661,12.529,37.135,19.381,132.276,0,78.224,8.154,7.149,71.581,8.956,119.565
placer,Placer,,2020-21,407517,780.629,703.614,80.07,103.443,46.132,11.477,38.817,30.586,155.53,0,81.53,8.146,6.939,88.512,10.821,41.612
placer,Placer,,2021-22,409025,803.785,720.933,87.555,104.4,48.256,13.578,39.139,28.434,151.685,0,88.434,8.646,5.885,79.199,11.489,54.233
placer,Placer,,2022-23,410305,854.376,775.682,88.934,105.151,50.098,14.687,49.943,38.633,160.795,0,90.367,8.766,6.521,56.689,15.53,89.567
placer,Placer,,2023-24,412844,938.651,866.546,96.61,121.06,52.642,16.121,43.951,35.868,171.13,0,102.263,9.922,5.541,82.396,15.184,113.858
plumas,Plumas,,2016-17,19819,53.387,56.484,6.576,3.524,3.323,0,2.579,7.31,12.911,0,9.053,0.67,0.388,7.546,1.171,1.433
plumas,Plumas,,2017-18,19773,59.348,58.299,6.713,3.513,3.21,0,2.567,6.933,15.154,0,9.031,0.606,0.391,7.614,1.162,1.404
plumas,Plumas,,2018-19,19779,59.846,60.763,7.582,4.712,2.987,0,2.659,8.222,13.798,0,9.498,0.613,0.378,7.943,1.169,1.202
plumas,Plumas,,2019-20,18260,62.025,62.931,7.861,4.518,3.267,0,2.702,8.96,13.67,0,10.094,0.661,0.419,8.546,1.169,1.063
plumas,Plumas,,2020-21,19574,73.797,64.56,7.979,4.14,3.089,0,2.678,11.308,13.643,0,10.343,0.671,0.486,8.274,1.168,0.783
plumas,Plumas,,2021-22,18942,81.252,67.713,8.524,6.974,3.436,0,2.853,9.031,13.95,0,10.296,0.708,0.459,9.435,1.166,0.881
plumas,Plumas,,2022-23,18996,99.421,78.351,8.508,4.012,3.472,0,2.925,8.276,13.752,0,10.123,0.782,0.46,14.178,1.169,10.695
plumas,Plumas,,2023-24,18841,95.637,87.812,9.28,15.907,3.622,0,4.998,9.17,15.899,0,12.256,1.211,0.545,12.614,1.17,1.142
riverside,Riverside,,2016-17,2384783,3353.348,3360.238,448.576,333.828,246.298,209.338,82.545,157.973,535.357,0,981.218,21.367,0.689,167.227,45.492,130.329
riverside,Riverside,,2017-18,2415955,3413.666,3324.343,434.135,338.445,245.983,229.396,79.098,139.422,541.655,0,977.442,21.45,1.037,181.978,52.126,82.176
riverside,Riverside,,2018-19,2440124,3582.104,3468.276,455.986,346.042,249.982,238.991,82.102,198.472,556.216,0,995.964,24.058,2.292,167.254,68.257,82.659
riverside,Riverside,,2019-20,2442304,4037.615,4654.448,688.366,604.466,311.746,256.528,134.425,273.027,689.12,0,1149.276,24.744,18.418,218.926,157.54,127.866
riverside,Riverside,,2020-21,2424587,4538.599,4307.966,479.733,373.904,265.309,245.778,249.378,260.788,655.615,0,1188.034,29.632,15.832,197.306,200.621,146.036
riverside,Riverside,,2021-22,2435525,4580.887,4558.024,553.616,390.38,283.734,261.419,92.727,269.904,729.16,0,1337.894,31.414,16.129,180.3,240.692,170.657
riverside,Riverside,,2022-23,2439234,5067.041,4861.543,603.695,404.522,307.252,302.416,105.572,290.505,778.232,0,1404.932,33.087,20.804,204.282,210.958,195.286
riverside,Riverside,,2023-24,2442378,5758.627,5458.479,640.352,442.814,339.331,332.295,130.121,291.58,993.236,0,1571.094,36.618,21.658,222.352,226.309,210.72
sacramento,Sacramento,,2016-17,1514770,2700.777,2657.611,301.785,273.828,151.166,2.316,88.844,137.106,577.571,33.288,671.766,1.422,35.641,151.713,194.191,36.974
sacramento,Sacramento,,2017-18,1529501,2801.044,2783.826,309.39,284.695,152.775,2.347,111.04,143.33,636.424,19.418,673.167,1.487,40.99,154.698,202.073,51.992
sacramento,Sacramento,,2018-19,1546174,2857.556,2899.535,345.16,296.236,158.585,2.497,115.941,138.291,676.859,17.01,675.857,1.367,39.132,190.191,205.213,37.196
sacramento,Sacramento,,2019-20,1555365,3114.94,3054.391,335.65,352.739,159.636,3.454,120.056,152.749,764.599,14.359,671.279,1.552,41.668,176.567,204.702,55.382
sacramento,Sacramento,,2020-21,1580624,3297.165,3205.419,369.626,358.249,151.496,3.186,125.361,157.358,852.159,19.329,685.61,1.518,38.617,180.463,209.04,53.407
sacramento,Sacramento,,2021-22,1576618,3558.438,3351.062,389.645,362.649,162.193,3.505,132.5,174.715,820.491,20.849,754.437,1.618,44.216,190.844,246.286,47.118
sacramento,Sacramento,,2022-23,1572453,3907.722,3796.114,440.058,403.989,166.68,4.061,151.906,188,948.195,16.895,842.654,1.617,54.014,265.652,253.98,58.413
sacramento,Sacramento,,2023-24,1578938,3933.215,3954.338,485.283,429.999,186.682,4.429,155.591,189.48,1059.463,13.584,823.922,1.83,61.725,226.301,252.001,64.048
san-benito,San Benito,,2016-17,56854,78.519,72.639,6.334,10.332,4.315,1.249,6.951,2.408,9.721,0.205,21.936,0.991,0.162,4.769,0,3.264
san-benito,San Benito,,2017-18,57088,94.392,87.357,7.08,10.427,4.855,1.27,7.343,2.214,10.568,0,23.102,1.05,0.251,6.503,0,12.695
san-benito,San Benito,,2018-19,62296,104.324,104.999,7.05,10.875,5.181,1.868,7.129,3.082,12.929,0,25.4,1.126,0.136,9.775,0,20.449
san-benito,San Benito,,2019-20,62353,110.207,110.578,8.091,12.286,5.262,2.154,7.599,4.916,13.974,0,27.184,1.306,0.143,11.794,0.626,15.243
san-benito,San Benito,,2020-21,64769,143.645,131.367,7.784,12.329,5.241,1.946,14.889,3.195,15.36,0,27.354,1.477,0.215,12.438,1.483,27.655
