# Citizen Ledger — counties — COMPLETE LAYER EXPORT
# Source dataset: County annual financial reports, State Controller's Office “By the Numbers” (bythenumbers.sco.ca.gov) — reported actual expenditures and revenues
# Accounting basis: Reported actual revenues and expenditures from standardized annual financial reports filed with the State Controller; governmental activities only — ratepayer-funded enterprise funds, internal service funds and conduit financing are excluded from the function figures
# Gate tier: AS FILED — reconciled to the Controller's published statewide totals where one exists; the function split is the Controller's own
# Units: millions of dollars; population in persons
# Data generated: 2026-07-24
# Exported: 2026-07-27
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A county serves the whole county, including residents of every city inside it. County and city figures must not be added.
# Function columns: exp_police_musd = Police protection (sheriff); exp_detention_musd = Detention & correction; exp_judicial_musd = Judicial; exp_fire_musd = Fire protection; exp_protectionOther_musd = Other public protection; exp_streets_musd = Public ways & facilities; exp_health_musd = Health; exp_sanitation_musd = Sanitation; exp_assistance_musd = Public assistance; exp_education_musd = Education; exp_recreation_musd = Recreation & cultural; exp_admin_musd = General government; exp_debt_musd = Debt service; exp_capital_musd = Capital outlay
# An entity-year absent from this file filed nothing for that year.
slug,name,county,fiscal_year,population,revenues_musd,expenditures_musd,exp_police_musd,exp_detention_musd,exp_judicial_musd,exp_fire_musd,exp_protectionOther_musd,exp_streets_musd,exp_health_musd,exp_sanitation_musd,exp_assistance_musd,exp_education_musd,exp_recreation_musd,exp_admin_musd,exp_debt_musd,exp_capital_musd
butte,Butte,,2020-21,206640,506.646,492.235,25.593,44.508,31.3,17.139,15.611,35.257,87.823,0,145.759,3.715,0.199,70.742,4.472,10.117
butte,Butte,,2021-22,201608,505.096,495.559,26.198,48.06,31.645,19.404,23.301,45.261,88.286,0,143.869,3.887,0.345,43.124,5.332,16.846
butte,Butte,,2022-23,205592,541.785,507.519,23.969,52.562,33.033,20.969,22.272,40.532,98.479,0.096,156.34,4.207,0.2,37.311,8.326,9.222
butte,Butte,,2023-24,205928,630.876,574.964,26.138,63.434,33.601,24.274,20.009,35.916,113.501,0.163,185.646,4.611,0.187,32.298,11.905,23.28
calaveras,Calaveras,,2016-17,45168,100.187,100.26,8.896,5.87,2.891,0.047,5.196,6.721,18.172,0,20.006,0.7,0.034,23.667,3.945,4.114
calaveras,Calaveras,,2017-18,45157,108.763,97.622,9.356,6.04,3.952,0.349,5.632,8.308,14.638,4.781,18.615,0.829,0.036,16.822,3.884,4.38
calaveras,Calaveras,,2018-19,45117,103.949,135.314,10.647,6.675,4.023,0.379,5.753,8.882,15.732,5.109,19.443,0.895,0.033,17.264,34.476,6.002
calaveras,Calaveras,,2019-20,45023,115.061,119.006,11.376,7.547,4.594,0.395,5.496,10.521,17.438,5.776,20.205,0.905,0.032,22.398,2.308,10.014
calaveras,Calaveras,,2020-21,45250,127.557,124.551,10.959,8.19,5.13,0.337,8.63,19.153,16.041,5.25,18.95,1.057,0.038,23.817,2.588,4.411
calaveras,Calaveras,,2021-22,45049,137.173,139.491,12.607,9.316,4.855,0.551,5.923,9.875,20.246,6.377,25.102,1.062,0.044,26.582,3.893,13.058
calaveras,Calaveras,,2022-23,44890,151.574,150.826,13.471,9.579,5.183,0.489,6.557,9.935,21.193,6.42,26.935,1.054,0.083,23.589,4.698,21.64
calaveras,Calaveras,,2023-24,44842,186.445,162.793,14.541,10.213,5.499,0.427,7.939,10.329,22.662,6.615,28.106,1.206,0.27,21.728,4.991,28.268
colusa,Colusa,,2016-17,22043,51.255,53.461,5.518,6.074,3.415,0.253,3.761,5.637,8.98,0,8.201,1.645,0.305,6.544,0.881,2.247
colusa,Colusa,,2017-18,22098,55.687,56.889,5.945,6.557,3.53,0.272,3.988,8.996,9.26,0,9.265,1.299,0.045,5.747,0.612,1.374
colusa,Colusa,,2018-19,22117,60.645,57.096,6.964,6.59,3.771,0.273,4.892,6.864,11.253,0,9.761,1.32,-0.011,5.316,0.044,0.058
colusa,Colusa,,2019-20,21902,64.271,57.687,6.806,6.996,3.78,0.27,4.542,4.799,12.473,0,11.068,1.47,0.047,5.373,0.044,0.018
colusa,Colusa,,2020-21,21773,72.281,66.186,7.22,8.49,3.46,0.328,5.364,7.214,12.967,0,11.66,1.57,0.017,5.572,0.044,2.28
colusa,Colusa,,2021-22,21807,72.193,66.565,7.483,7.931,3.561,0.422,5.65,4.807,16.609,0,11.988,1.798,0.058,5.081,0.006,1.173
colusa,Colusa,,2022-23,21771,77.022,78.786,7.83,8.736,3.987,0.4,5.586,7.726,20.289,0,13.693,1.193,0.033,6.621,0.162,2.529
colusa,Colusa,,2023-24,21743,87.267,85.319,8.811,8.839,3.356,0.38,5.696,12.035,21.397,0,14.784,1.433,0.03,5.584,0.75,2.224
contra-costa,Contra Costa,,2016-17,1139513,1583.174,1475.103,148.293,141.489,116.334,0,44.681,42.81,242.995,0.385,487.952,26.843,0.87,116.29,76.625,29.536
contra-costa,Contra Costa,,2017-18,1149363,1638.478,1540.04,164.551,158.472,119.571,0,32.214,53.93,273.256,0.354,487.37,28.339,0.341,110.555,69.015,42.071
contra-costa,Contra Costa,,2018-19,1155879,2054.921,1919.318,171.678,162.12,122.91,131.508,142.89,46.704,319.245,0.321,504.865,32.306,2.206,106.566,90.08,85.919
contra-costa,Contra Costa,,2019-20,1153561,2141.019,2024.405,182.899,140.821,128.221,133.694,151.12,62.919,336.253,0.335,498.977,32.435,1.953,176.3,91.787,86.691
contra-costa,Contra Costa,,2020-21,1161324,2392.907,2157.917,187.735,132.919,112.855,146.483,158.034,50.167,369.492,0.293,522.555,31.671,1.462,271.84,94.138,78.274
contra-costa,Contra Costa,,2021-22,1156555,2487.336,2247.009,198.286,186.098,116.587,162.213,168.381,69.124,333.563,0.294,583.037,35.211,1.752,218.745,100.147,73.57
contra-costa,Contra Costa,,2022-23,1147653,2652.644,2301.641,231.946,188.893,119.753,174.349,179.445,57.145,368.83,0.286,616.905,38.418,2.008,206.924,46.721,70.019
contra-costa,Contra Costa,,2023-24,1146626,2980.035,2612.147,269.622,205.912,131.323,290.341,145.827,79.52,486.85,0.287,630.959,45.224,1.821,198.711,26.486,99.263
